일시,풍속(m/s),풍향(deg),강수량(mm),기온(°C),anomaly
2014-01-01 00:00,2.2,269.2,0.0,4.9,0
2014-01-01 01:00,1.9,269.5,0.0,4.4,0
2014-01-01 02:00,1.4,268.7,0.0,4.0,0
2014-01-01 03:00,0.8,261.9,0.0,3.1,0
2014-01-01 04:00,2.0,265.3,0.0,3.3,0
2014-01-01 05:00,1.6,265.0,0.0,3.3,0
2014-01-01 06:00,1.0,274.1,0.0,3.2,0
2014-01-01 07:00,1.4,270.7,0.0,3.7,0
2014-01-01 08:00,1.8,274.5,0.0,4.0,0
2014-01-01 09:00,1.9,269.7,0.0,4.6,0
2014-01-01 10:00,2.6,259.6,0.0,4.9,0
2014-01-01 11:00,2.0,256.4,0.0,6.4,0
2014-01-01 12:00,3.7,255.0,0.0,7.1,0
2014-01-01 13:00,3.6,273.4,0.0,7.8,0
2014-01-01 14:00,3.5,253.1,0.0,8.2,0
2014-01-01 15:00,4.6,262.5,0.0,7.8,0
2014-01-01 16:00,3.7,259.5,0.0,7.6,0
2014-01-01 17:00,2.9,259.4,0.0,7.1,0
2014-01-01 18:00,2.7,262.1,0.0,6.7,0
2014-01-01 19:00,3.2,257.1,0.0,6.6,0
2014-01-01 20:00,3.4,258.9,0.0,6.5,0
2014-01-01 21:00,2.2,274.8,0.0,6.4,0
2014-01-01 22:00,2.1,266.0,0.0,6.0,0
2014-01-01 23:00,2.0,305.5,0.0,4.9,0
2014-01-02 00:00,2.2,287.4,0.0,4.3,0
2014-01-02 01:00,1.5,289.6,0.0,3.4,0
2014-01-02 02:00,1.0,279.1,0.0,2.8,0
2014-01-02 03:00,1.2,302.2,0.0,2.5,0
2014-01-02 04:00,1.5,258.4,0.0,2.2,0
2014-01-02 05:00,1.3,271.4,0.0,1.7,0
2014-01-02 06:00,2.0,267.8,0.0,1.5,0
2014-01-02 07:00,1.8,262.3,0.0,1.3,0
2014-01-02 08:00,1.1,336.5,0.0,0.8,0
2014-01-02 09:00,1.1,293.4,0.0,1.1,0
2014-01-02 10:00,1.6,262.6,0.0,2.1,0
2014-01-02 11:00,2.0,254.8,0.0,2.7,0
2014-01-02 12:00,1.6,265.9,0.0,3.9,0
2014-01-02 13:00,1.7,314.2,0.0,4.7,0
2014-01-02 14:00,1.7,316.2,0.0,4.6,0
2014-01-02 15:00,1.7,330.7,0.0,5.4,0
2014-01-02 16:00,1.2,301.6,0.0,5.3,0
2014-01-02 17:00,1.0,331.8,0.0,4.5,0
2014-01-02 18:00,1.0,261.3,0.0,4.8,0
2014-01-02 19:00,0.8,258.5,0.0,3.6,0
2014-01-02 20:00,0.6,253.0,0.0,3.5,0
2014-01-02 21:00,0.8,67.8,0.0,1.5,0
2014-01-02 22:00,0.8,55.5,0.0,1.4,0
2014-01-02 23:00,0.9,69.1,0.0,0.8,0
2014-01-03 00:00,0.7,69.7,0.0,0.7,0
2014-01-03 01:00,0.3,0.0,0.0,0.8,0
2014-01-03 02:00,0.2,0.0,0.0,0.6,0
2014-01-03 03:00,0.5,143.2,0.0,0.5,0
2014-01-03 04:00,0.3,0.0,0.0,0.3,0
2014-01-03 05:00,0.4,0.0,0.0,0.3,0
2014-01-03 06:00,0.2,0.0,0.0,0.0,0
2014-01-03 07:00,0.4,0.0,0.0,0.1,0
2014-01-03 08:00,0.4,0.0,0.0,0.1,0
2014-01-03 09:00,0.7,61.6,0.0,1.0,0
2014-01-03 10:00,0.9,130.0,0.0,1.8,0
2014-01-03 11:00,0.7,141.7,0.0,4.4,0
2014-01-03 12:00,0.8,36.5,0.0,5.2,0
2014-01-03 13:00,0.8,324.3,0.0,6.8,0
2014-01-03 14:00,2.0,282.8,0.0,7.5,0
2014-01-03 15:00,1.4,290.5,0.0,7.6,0
2014-01-03 16:00,0.9,299.9,0.0,6.6,0
2014-01-03 17:00,0.8,341.2,0.0,6.7,0
2014-01-03 18:00,1.6,291.3,0.0,6.5,0
2014-01-03 19:00,1.7,301.7,0.0,5.8,0
2014-01-03 20:00,1.8,292.4,0.0,5.0,0
2014-01-03 21:00,1.8,277.5,0.0,3.9,0
2014-01-03 22:00,1.9,284.1,0.0,2.8,0
2014-01-03 23:00,1.6,262.9,0.0,2.4,0
2014-01-04 00:00,1.8,255.4,0.0,1.8,0
2014-01-04 01:00,1.3,293.7,0.0,1.3,0
2014-01-04 02:00,1.6,268.4,0.0,0.6,0
2014-01-04 03:00,1.4,290.3,0.0,0.3,0
2014-01-04 04:00,1.4,252.8,0.0,-0.2,0
2014-01-04 05:00,1.6,257.2,0.0,-0.7,0
2014-01-04 06:00,1.3,296.9,0.0,-0.9,0
2014-01-04 07:00,0.8,315.2,0.0,-1.2,0
2014-01-04 08:00,1.0,315.8,0.0,-1.6,0
2014-01-04 09:00,0.7,327.6,0.0,-1.3,0
2014-01-04 10:00,0.9,250.4,0.0,-0.2,0
2014-01-04 11:00,1.2,284.4,0.0,1.2,0
2014-01-04 12:00,1.2,254.3,0.0,2.0,0
2014-01-04 13:00,0.8,358.1,0.0,3.9,0
2014-01-04 14:00,1.1,279.2,0.0,4.3,0
2014-01-04 15:00,1.4,293.4,0.0,4.4,0
2014-01-04 16:00,1.8,274.5,0.0,4.0,0
2014-01-04 17:00,2.1,294.5,0.0,3.4,0
2014-01-04 18:00,2.2,297.9,0.0,2.7,0
2014-01-04 19:00,1.7,274.6,0.0,2.2,0
2014-01-04 20:00,1.6,272.7,0.0,1.6,0
2014-01-04 21:00,1.3,263.4,0.0,1.6,0
2014-01-04 22:00,2.0,299.3,0.0,0.6,0
2014-01-04 23:00,0.9,299.3,0.0,0.0,0
2014-01-05 00:00,0.9,317.4,0.0,-0.1,0
2014-01-05 01:00,0.9,314.5,0.0,-0.6,0
2014-01-05 02:00,0.8,246.3,0.0,-0.8,0
2014-01-05 03:00,0.9,269.9,0.0,-0.9,0
2014-01-05 04:00,0.7,249.7,0.0,-1.3,0
2014-01-05 05:00,0.3,0.0,0.0,-1.6,0
2014-01-05 06:00,0.5,318.0,0.0,-1.6,0
2014-01-05 07:00,0.7,260.7,0.0,-1.7,0
2014-01-05 08:00,0.9,308.4,0.0,-2.2,0
2014-01-05 09:00,1.1,238.4,0.0,-1.6,0
2014-01-05 10:00,0.8,237.7,0.0,-0.4,0
2014-01-05 11:00,0.5,218.3,0.0,1.7,0
2014-01-05 12:00,1.1,335.4,0.0,1.9,0
2014-01-05 13:00,1.2,354.0,0.0,3.4,0
2014-01-05 14:00,1.7,333.5,0.0,3.8,0
2014-01-05 15:00,1.6,339.1,0.0,3.6,0
2014-01-05 16:00,1.4,323.3,0.0,3.1,0
2014-01-05 17:00,2.5,296.3,0.0,2.7,0
2014-01-05 18:00,2.0,291.2,0.0,2.3,0
2014-01-05 19:00,1.3,284.7,0.0,1.6,0
2014-01-05 20:00,1.2,290.5,0.0,1.5,0
2014-01-05 21:00,1.1,263.6,0.0,1.2,0
2014-01-05 22:00,1.3,269.2,0.0,0.6,0
2014-01-05 23:00,0.8,269.5,0.0,0.7,0
2014-01-06 00:00,0.8,310.9,0.0,0.4,0
2014-01-06 01:00,0.3,0.0,0.0,-0.1,0
2014-01-06 02:00,0.3,0.0,0.0,-1.0,0
2014-01-06 03:00,0.3,0.0,0.0,-0.5,0
2014-01-06 04:00,0.3,0.0,0.0,-1.9,0
2014-01-06 05:00,0.6,88.0,0.0,-2.1,0
2014-01-06 06:00,0.7,96.2,0.0,-1.8,0
2014-01-06 07:00,0.2,0.0,0.0,-2.0,0
2014-01-06 08:00,0.3,0.0,0.0,-2.1,0
2014-01-06 09:00,1.1,46.2,0.0,-2.4,0
2014-01-06 10:00,0.5,121.6,0.0,0.1,0
2014-01-06 11:00,0.7,85.2,0.0,2.2,0
2014-01-06 12:00,0.8,76.8,0.0,3.5,0
2014-01-06 13:00,1.0,46.8,0.0,5.0,0
2014-01-06 14:00,0.7,351.0,0.0,5.0,0
2014-01-06 15:00,0.6,335.4,0.0,5.8,0
2014-01-06 16:00,0.7,281.1,0.0,5.0,0
2014-01-06 17:00,1.1,293.1,0.0,5.3,0
2014-01-06 18:00,1.6,297.2,0.0,4.2,0
2014-01-06 19:00,0.9,251.2,0.0,4.2,0
2014-01-06 20:00,0.5,97.1,0.0,3.3,0
2014-01-06 21:00,1.3,256.8,0.0,3.2,0
2014-01-06 22:00,0.8,63.6,0.0,2.6,0
2014-01-06 23:00,1.0,52.5,0.0,1.7,0
2014-01-07 00:00,0.5,64.7,0.0,1.9,0
2014-01-07 01:00,0.5,123.2,0.0,1.9,0
2014-01-07 02:00,0.4,0.0,0.0,1.7,0
2014-01-07 03:00,0.6,42.7,0.0,1.1,0
2014-01-07 04:00,0.6,353.5,0.0,0.9,0
2014-01-07 05:00,1.0,38.7,0.0,1.2,0
2014-01-07 06:00,0.3,0.0,0.0,1.2,0
2014-01-07 07:00,0.5,137.6,0.0,0.8,0
2014-01-07 08:00,0.2,0.0,0.0,1.5,0
2014-01-07 09:00,0.4,0.0,0.0,1.4,0
2014-01-07 10:00,0.7,149.1,0.0,2.7,0
2014-01-07 11:00,0.7,36.3,0.0,3.6,0
2014-01-07 12:00,0.9,290.4,0.0,4.9,0
2014-01-07 13:00,0.6,263.3,0.0,5.1,0
2014-01-07 14:00,1.3,252.8,0.0,5.2,0
2014-01-07 15:00,1.3,277.8,0.0,6.0,0
2014-01-07 16:00,0.5,298.2,0.0,5.4,0
2014-01-07 17:00,1.3,262.3,0.0,5.9,0
2014-01-07 18:00,1.3,248.5,0.0,5.7,0
2014-01-07 19:00,0.8,274.4,0.0,5.8,0
2014-01-07 20:00,1.2,244.6,0.0,5.4,0
2014-01-07 21:00,0.8,251.3,0.0,5.0,0
2014-01-07 22:00,1.4,263.7,0.0,5.2,0
2014-01-07 23:00,1.0,252.3,0.0,5.1,0
2014-01-08 00:00,0.9,268.0,0.0,5.3,0
2014-01-08 01:00,1.2,258.1,0.0,5.2,0
2014-01-08 02:00,0.7,265.4,0.0,5.1,0
2014-01-08 03:00,1.1,260.2,0.0,5.0,0
2014-01-08 04:00,0.9,262.2,0.0,5.0,0
2014-01-08 05:00,0.8,266.4,0.0,4.8,0
2014-01-08 06:00,1.9,289.5,0.0,4.0,0
2014-01-08 07:00,1.3,308.2,0.0,3.6,0
2014-01-08 08:00,1.6,306.7,0.0,3.0,0
2014-01-08 09:00,1.4,267.9,0.0,2.9,0
2014-01-08 10:00,1.9,298.1,0.0,2.9,0
2014-01-08 11:00,2.8,277.0,0.0,2.8,0
2014-01-08 12:00,2.1,294.8,0.0,3.2,0
2014-01-08 13:00,2.4,272.8,0.0,3.1,0
2014-01-08 14:00,2.8,293.0,0.0,2.8,0
2014-01-08 15:00,2.6,301.3,0.0,3.0,0
2014-01-08 16:00,3.0,297.4,0.0,1.9,0
2014-01-08 17:00,3.4,294.1,0.0,1.0,0
2014-01-08 18:00,3.4,277.4,0.0,0.0,0
2014-01-08 19:00,3.8,287.8,0.0,-0.9,0
2014-01-08 20:00,3.2,279.2,0.0,-1.9,0
2014-01-08 21:00,3.1,284.8,0.0,-2.6,0
2014-01-08 22:00,3.3,291.7,0.0,-3.5,0
2014-01-08 23:00,2.2,273.1,0.0,-3.9,0
2014-01-09 00:00,2.4,282.7,0.0,-4.5,0
2014-01-09 01:00,3.1,282.9,0.0,-5.1,0
2014-01-09 02:00,2.1,275.9,0.0,-5.8,0
2014-01-09 03:00,2.3,277.2,0.0,-6.4,0
2014-01-09 04:00,2.6,304.2,0.0,-7.0,0
2014-01-09 05:00,1.5,309.6,0.0,-7.5,0
2014-01-09 06:00,1.7,283.3,0.0,-7.9,0
2014-01-09 07:00,2.2,279.2,0.0,-8.2,0
2014-01-09 08:00,1.7,285.8,0.0,-8.6,0
2014-01-09 09:00,1.9,291.7,0.0,-8.9,0
2014-01-09 10:00,1.6,301.9,0.0,-7.8,0
2014-01-09 11:00,1.7,286.6,0.0,-7.2,0
2014-01-09 12:00,2.1,285.5,0.0,-6.4,0
2014-01-09 13:00,2.5,288.1,0.0,-6.1,0
2014-01-09 14:00,2.6,290.3,0.0,-5.1,0
2014-01-09 15:00,2.9,301.1,0.0,-4.1,0
2014-01-09 16:00,1.9,294.7,0.0,-4.7,0
2014-01-09 17:00,3.4,281.1,0.0,-5.1,0
2014-01-09 18:00,1.9,293.0,0.0,-5.5,0
2014-01-09 19:00,2.1,287.3,0.0,-5.6,0
2014-01-09 20:00,1.6,291.9,0.0,-5.6,0
2014-01-09 21:00,2.1,290.5,0.0,-5.7,0
2014-01-09 22:00,2.4,314.1,0.0,-6.1,0
2014-01-09 23:00,1.6,327.8,0.0,-6.2,0
2014-01-10 00:00,1.2,291.3,0.0,-6.2,0
2014-01-10 01:00,1.1,310.6,0.0,-6.3,0
2014-01-10 02:00,0.6,350.8,0.0,-6.7,0
2014-01-10 03:00,0.4,0.0,0.0,-7.1,0
2014-01-10 04:00,1.1,53.2,0.0,-7.0,0
2014-01-10 05:00,0.4,0.0,0.0,-6.8,0
2014-01-10 06:00,0.6,54.5,0.0,-6.9,0
2014-01-10 07:00,1.0,60.0,0.0,-6.7,0
2014-01-10 08:00,0.9,68.8,0.0,-6.7,0
2014-01-10 09:00,0.6,104.6,0.0,-6.3,0
2014-01-10 10:00,1.1,49.8,0.0,-5.0,0
2014-01-10 11:00,0.9,50.4,0.0,-3.5,0
2014-01-10 12:00,1.0,55.6,0.0,-2.1,0
2014-01-10 13:00,1.3,314.9,0.0,-1.3,0
2014-01-10 14:00,1.3,279.5,0.0,-1.5,0
2014-01-10 15:00,1.5,270.8,0.0,-1.0,0
2014-01-10 16:00,1.3,289.9,0.0,-1.1,0
2014-01-10 17:00,2.0,252.4,0.0,-1.0,0
2014-01-10 18:00,1.2,284.1,0.0,-1.1,0
2014-01-10 19:00,1.7,262.3,0.0,-1.5,0
2014-01-10 20:00,1.1,258.4,0.0,-1.7,0
2014-01-10 21:00,1.5,260.1,0.0,-1.7,0
2014-01-10 22:00,1.0,290.9,0.0,-2.5,0
2014-01-10 23:00,0.5,74.0,0.0,-2.5,0
2014-01-11 00:00,0.5,56.3,0.0,-2.9,0
2014-01-11 01:00,0.5,60.5,0.0,-3.1,0
2014-01-11 02:00,0.6,113.2,0.0,-3.1,0
2014-01-11 03:00,1.0,51.8,0.0,-3.9,0
2014-01-11 04:00,1.0,64.5,0.0,-3.4,0
2014-01-11 05:00,0.9,72.3,0.0,-3.7,0
2014-01-11 06:00,0.4,0.0,0.0,-3.4,0
2014-01-11 07:00,0.8,64.2,0.0,-4.3,0
2014-01-11 08:00,0.4,0.0,0.0,-4.4,0
2014-01-11 09:00,0.2,0.0,0.0,-3.5,0
2014-01-11 10:00,0.7,54.4,0.0,-1.6,0
2014-01-11 11:00,0.5,21.8,0.0,0.5,0
