datetime,predicted precipitation,ground_truth
2021-03-01 07:00,0.092236,4.0
2021-03-01 08:00,0.092236,4.0
2021-03-01 09:00,0.092236,6.0
2021-03-01 10:00,0.092236,4.5
2021-04-03 11:00,0.092236,0.0
2021-04-03 12:00,0.092236,1.5
2021-04-03 13:00,0.092236,8.0
2021-04-03 14:00,0.082351,6.0
2021-04-03 15:00,0.082351,4.0
2021-04-03 16:00,0.082351,3.5
2021-04-03 17:00,0.082351,5.5
2021-04-03 18:00,0.082351,3.0
2021-04-30 20:00,0.082351,0.0
2021-04-30 21:00,0.082351,0.0
2021-04-30 22:00,0.092505,5.0
2021-04-30 23:00,0.092505,1.0
2021-05-07 08:00,0.092505,0.0
2021-05-07 09:00,0.092505,0.0
2021-05-07 10:00,0.092505,5.0
2021-05-07 11:00,0.092505,2.5
2021-05-16 04:00,0.092505,0.0
2021-05-16 05:00,0.102505,2.5
2021-05-16 06:00,0.102505,8.0
2021-05-16 07:00,0.102505,2.0
2021-05-16 08:00,0.102505,5.5
2021-05-16 09:00,0.102505,3.0
2021-05-16 11:00,0.102505,1.5
2021-05-16 12:00,0.102505,3.0
2021-05-16 13:00,0.054350,5.5
2021-05-16 14:00,0.054350,5.0
2021-05-25 06:00,0.054350,0.0
2021-05-25 07:00,0.054350,2.0
2021-05-25 08:00,0.054350,5.0
2021-05-25 09:00,0.054350,5.5
2021-05-25 10:00,0.054350,5.0
2021-05-25 11:00,0.063630,1.0
2021-05-27 10:00,0.063630,1.0
2021-05-27 11:00,0.063630,1.5
2021-05-27 12:00,0.063630,6.5
2021-05-27 13:00,0.063630,8.5
2021-05-28 04:00,0.063630,0.0
2021-05-28 05:00,0.063630,2.5
2021-05-28 06:00,0.069105,5.0
2021-05-28 07:00,0.069105,1.5
2021-05-28 22:00,0.069105,1.0
2021-05-28 23:00,0.069105,2.0
2021-05-29 00:00,0.069105,5.0
2021-05-29 01:00,0.069105,0.5
2021-06-03 15:00,0.069105,0.0
2021-06-03 16:00,0.078698,1.5
2021-06-03 17:00,0.078698,5.0
2021-06-03 18:00,0.078698,2.0
2021-07-03 18:00,0.078698,1.0
2021-07-03 19:00,0.078698,2.0
2021-07-03 20:00,0.078698,5.5
2021-07-03 21:00,0.078698,4.5
2021-07-03 23:00,0.076311,2.5
2021-07-04 00:00,0.076311,3.0
2021-07-04 01:00,0.076311,5.5
2021-07-04 02:00,0.076311,3.0
2021-07-10 15:00,0.076311,0.0
2021-07-10 16:00,0.076311,4.0
2021-07-10 17:00,0.076311,8.5
2021-07-10 18:00,0.082248,2.5
2021-08-01 15:00,0.082248,0.0
2021-08-01 16:00,0.082248,0.0
2021-08-01 17:00,0.082248,12.5
2021-08-01 18:00,0.082248,0.0
2021-08-21 11:00,0.082248,1.5
2021-08-21 12:00,0.082248,4.5
2021-08-21 13:00,0.083626,5.0
2021-08-21 14:00,0.083626,4.5
2021-08-24 18:00,0.083626,0.0
2021-08-24 19:00,0.083626,0.5
2021-08-24 20:00,0.083626,5.0
2021-08-24 21:00,0.083626,2.0
2021-08-31 20:00,0.083626,1.5
2021-08-31 21:00,0.075646,3.0
2021-08-31 22:00,0.075646,6.0
2021-08-31 23:00,0.075646,6.5
2021-09-01 00:00,0.075646,7.5
2021-09-01 01:00,0.075646,1.0
2021-09-21 04:00,0.075646,2.5
2021-09-21 05:00,0.075646,0.5
2021-09-21 06:00,0.018551,6.0
2021-09-21 07:00,0.018551,7.0
2021-09-21 08:00,0.018551,9.0
2021-09-21 09:00,0.018551,2.0
2021-10-04 18:00,0.018551,1.0
2021-10-04 19:00,0.018551,2.5
2021-10-04 20:00,0.018551,6.5
2021-10-04 21:00,0.018101,9.0
2021-10-04 22:00,0.018101,17.5
2021-10-04 23:00,0.018101,9.5
2021-10-05 00:00,0.018101,3.5
2021-10-05 01:00,0.018101,6.5
2021-10-05 02:00,0.018101,2.0
2022-03-12 22:00,0.018101,0.0
2022-03-12 23:00,0.018610,1.0
2022-03-13 00:00,0.018610,9.5
2022-03-13 01:00,0.018610,5.0
2022-05-25 22:00,0.018610,0.5
2022-05-25 23:00,0.018610,2.5
2022-05-26 00:00,0.018610,5.5
2022-05-26 01:00,0.018610,0.0
2022-06-15 03:00,0.018197,0.0
2022-06-15 04:00,0.018197,2.0
2022-06-15 05:00,0.018197,5.5
2022-06-15 06:00,0.018197,2.0
2022-06-23 13:00,0.018197,0.0
2022-06-23 14:00,0.018197,0.0
2022-06-23 15:00,0.018197,13.5
2022-06-23 16:00,0.022213,29.5
2022-06-23 17:00,0.022213,7.5
2022-06-23 18:00,0.022213,2.5
2022-06-23 19:00,0.022213,19.0
2022-06-23 20:00,0.022213,6.0
2022-06-23 23:00,0.022213,2.0
2022-06-24 00:00,0.022213,1.5
2022-06-24 01:00,0.024332,7.0
2022-06-24 02:00,0.024332,2.0
2022-06-26 07:00,0.024332,0.0
2022-06-26 08:00,0.024332,1.0
2022-06-26 09:00,0.024332,27.0
2022-06-26 10:00,0.024332,1.5
2022-06-26 11:00,0.024332,2.5
2022-06-26 12:00,0.027216,13.0
2022-06-26 13:00,0.027216,0.0
2022-06-27 07:00,0.027216,2.0
2022-06-27 08:00,0.027216,2.0
2022-06-27 09:00,0.027216,6.5
2022-06-27 10:00,0.027216,0.0
2022-06-27 14:00,0.027216,1.0
2022-06-27 15:00,0.024786,2.0
2022-06-27 16:00,0.024786,5.5
2022-06-27 17:00,0.024786,10.5
2022-06-28 13:00,0.024786,1.0
2022-06-28 14:00,0.024786,1.5
2022-06-28 15:00,0.024786,5.0
2022-06-28 16:00,0.024786,1.0
2022-06-29 02:00,0.054172,2.0
2022-06-29 03:00,0.054172,4.0
2022-06-29 04:00,0.054172,7.0
2022-06-29 05:00,0.054172,4.0
2022-06-29 06:00,0.054172,7.5
2022-06-29 07:00,0.054172,0.5
2022-06-29 19:00,0.054172,2.0
2022-06-29 20:00,0.066887,3.0
2022-06-29 21:00,0.066887,8.5
2022-06-29 22:00,0.066887,10.0
2022-06-29 23:00,0.066887,14.5
2022-06-30 00:00,0.066887,15.0
2022-06-30 01:00,0.066887,3.5
2022-06-30 02:00,0.066887,5.0
2022-06-30 03:00,0.068081,5.5
2022-06-30 06:00,0.068081,1.0
2022-06-30 07:00,0.068081,2.0
2022-06-30 08:00,0.068081,5.5
2022-06-30 09:00,0.068081,1.5
2022-06-30 15:00,0.068081,1.0
2022-06-30 16:00,0.068081,2.5
2022-06-30 17:00,0.074547,5.5
2022-06-30 18:00,0.074547,6.5
2022-06-30 19:00,0.074547,16.5
2022-06-30 20:00,0.074547,9.5
2022-06-30 21:00,0.074547,0.5
2022-06-30 22:00,0.074547,1.5
2022-06-30 23:00,0.074547,7.0
2022-07-01 00:00,0.074220,3.0
2022-07-07 01:00,0.074220,0.0
2022-07-07 02:00,0.074220,0.0
2022-07-07 03:00,0.074220,14.5
2022-07-07 04:00,0.074220,1.5
2022-07-07 18:00,0.074220,0.0
2022-07-07 19:00,0.074220,0.0
2022-07-07 20:00,0.073412,6.5
2022-07-07 21:00,0.073412,0.0
2022-07-10 21:00,0.073412,0.0
2022-07-10 22:00,0.073412,0.0
2022-07-10 23:00,0.073412,7.0
2022-07-11 00:00,0.073412,9.5
2022-07-11 01:00,0.073412,17.0
2022-07-11 02:00,0.064991,6.0
2022-07-13 14:00,0.064991,2.0
2022-07-13 15:00,0.064991,2.5
2022-07-13 16:00,0.064991,5.0
2022-07-13 17:00,0.064991,3.5
2022-07-21 02:00,0.064991,1.0
2022-07-21 03:00,0.064991,4.5
2022-07-21 04:00,0.057553,8.0
2022-07-21 05:00,0.057553,5.5
2022-07-21 06:00,0.057553,1.5
2022-07-21 07:00,0.057553,5.0
2022-07-21 08:00,0.057553,1.5
2022-07-23 19:00,0.057553,0.5
2022-07-23 20:00,0.057553,3.5
2022-07-23 21:00,0.055341,5.5
2022-07-23 22:00,0.055341,1.0
2022-07-31 13:00,0.055341,0.0
2022-07-31 14:00,0.055341,3.0
2022-07-31 15:00,0.055341,5.5
2022-07-31 16:00,0.055341,0.5
2022-07-31 17:00,0.055341,7.5
2022-07-31 18:00,0.056970,3.0
2022-07-31 21:00,0.056970,1.0
2022-07-31 22:00,0.056970,2.5
2022-07-31 23:00,0.056970,7.0
2022-08-01 00:00,0.056970,4.5
2022-08-01 09:00,0.056970,1.0
2022-08-01 10:00,0.056970,0.5
2022-08-01 11:00,0.049364,5.0
2022-08-01 12:00,0.049364,0.5
2022-08-02 02:00,0.049364,0.0
2022-08-02 03:00,0.049364,4.5
2022-08-02 04:00,0.049364,6.0
2022-08-02 05:00,0.049364,4.0
2022-08-02 15:00,0.049364,0.0
2022-08-02 16:00,0.060542,0.5
2022-08-02 17:00,0.060542,5.0
2022-08-02 18:00,0.060542,2.0
2022-08-02 23:00,0.060542,0.0
2022-08-03 00:00,0.060542,0.5
2022-08-03 01:00,0.060542,9.5
2022-08-03 02:00,0.060542,7.5
2022-08-04 03:00,0.042827,1.5
2022-08-04 04:00,0.042827,0.0
2022-08-04 05:00,0.042827,10.5
2022-08-04 06:00,0.042827,0.5
2022-08-05 16:00,0.042827,0.0
2022-08-05 17:00,0.042827,0.0
2022-08-05 18:00,0.042827,15.0
2022-08-05 19:00,0.035246,5.5
2022-08-07 15:00,0.035246,0.0
2022-08-07 16:00,0.035246,0.0
2022-08-07 17:00,0.035246,18.5
2022-08-07 18:00,0.035246,4.0
2022-08-08 04:00,0.035246,3.0
2022-08-08 05:00,0.035246,4.5
2022-08-08 06:00,0.025922,5.5
2022-08-08 07:00,0.025922,4.5
2022-08-08 11:00,0.025922,2.0
2022-08-08 12:00,0.025922,4.0
2022-08-08 13:00,0.025922,5.5
2022-08-08 14:00,0.025922,4.0
2022-08-08 16:00,0.025922,0.0
2022-08-08 17:00,0.019693,0.5
2022-08-08 18:00,0.019693,8.5
2022-08-08 19:00,0.019693,13.0
2022-08-09 12:00,0.019693,0.0
2022-08-09 13:00,0.019693,1.5
2022-08-09 14:00,0.019693,15.0
2022-08-09 15:00,0.019693,9.5
2022-08-09 16:00,0.025944,8.5
2022-08-09 17:00,0.025944,12.5
2022-08-09 18:00,0.025944,10.5
2022-08-09 19:00,0.025944,6.0
2022-08-09 20:00,0.025944,8.5
2022-08-09 21:00,0.025944,2.5
2022-08-09 22:00,0.025944,1.5
2022-08-09 23:00,0.021806,6.0
2022-08-10 00:00,0.021806,18.5
2022-08-14 21:00,0.021806,0.0
2022-08-14 22:00,0.021806,0.5
2022-08-14 23:00,0.021806,6.0
2022-08-15 00:00,0.021806,0.5
2022-08-15 01:00,0.021806,28.5
2022-08-15 02:00,0.022402,0.0
2022-08-15 17:00,0.022402,0.5
2022-08-15 18:00,0.022402,1.0
2022-08-15 19:00,0.022402,8.0
2022-08-15 20:00,0.022402,1.0
2022-08-17 14:00,0.022402,0.0
2022-08-17 15:00,0.022402,4.5
2022-08-17 16:00,0.021873,12.5
2022-08-17 17:00,0.021873,4.0
2022-08-19 16:00,0.021873,0.0
2022-08-19 17:00,0.021873,1.0
2022-08-19 18:00,0.021873,6.5
2022-08-19 19:00,0.021873,0.5
2022-09-04 19:00,0.021873,1.0
2022-09-04 20:00,0.039733,4.5
2022-09-04 21:00,0.039733,5.0
2022-09-04 22:00,0.039733,5.0
2022-09-04 23:00,0.039733,4.5
2022-09-05 00:00,0.039733,12.0
2022-09-05 01:00,0.039733,6.5
2022-09-05 02:00,0.039733,6.0
2022-09-05 03:00,0.047458,1.0
2022-09-05 10:00,0.047458,4.5
2022-09-05 11:00,0.047458,4.5
2022-09-05 12:00,0.047458,6.5
2022-09-05 13:00,0.047458,8.5
2022-09-05 14:00,0.047458,6.0
2022-09-05 15:00,0.047458,6.0
2022-09-05 16:00,0.055900,8.5
2022-09-05 17:00,0.055900,11.5
2022-09-05 18:00,0.055900,8.0
2022-09-05 19:00,0.055900,9.0
2022-09-05 20:00,0.055900,8.0
2022-09-05 21:00,0.055900,7.5
2022-09-05 22:00,0.055900,6.5
2022-09-05 23:00,0.051495,10.0
2022-09-06 00:00,0.051495,5.5
2022-09-06 01:00,0.051495,4.5
2022-09-06 02:00,0.051495,5.0
2022-09-06 03:00,0.051495,6.5
2022-09-06 04:00,0.051495,11.0
2022-09-06 05:00,0.051495,10.0
2022-09-06 06:00,0.019979,5.0
2022-09-06 07:00,0.019979,0.5
2022-10-02 22:00,0.019979,1.0
2022-10-02 23:00,0.019979,2.0
2022-10-03 00:00,0.019979,5.0
2022-10-03 01:00,0.019979,4.0
2022-10-03 19:00,0.019979,0.0
2022-10-03 20:00,0.020094,2.5
2022-10-03 21:00,0.020094,12.5
2022-10-03 22:00,0.020094,14.0
2022-10-03 23:00,0.020094,19.0
2022-10-04 00:00,0.020094,7.5
2022-11-12 20:00,0.020094,2.0
2022-11-12 21:00,0.020094,4.5
2022-11-12 22:00,0.019556,9.5
