datetime,predicted precipitation,ground_truth
2021-04-03 09:00,0.470941,0.0
2021-04-03 10:00,0.690563,0.0
2021-04-03 11:00,0.834819,0.0
2021-04-03 12:00,1.131956,1.5
2021-04-03 13:00,0.817845,8.0
2021-04-03 14:00,0.841351,6.0
2021-04-03 15:00,0.082761,4.0
2021-04-03 16:00,1.668672,3.5
2021-04-03 17:00,0.060603,5.5
2021-04-03 18:00,0.429651,3.0
2021-04-03 19:00,0.126433,2.5
2021-07-03 20:00,0.547107,5.5
2021-07-03 21:00,0.261482,4.5
2021-07-03 22:00,0.410618,3.5
2021-07-03 23:00,0.519868,2.5
2021-07-04 00:00,0.286856,3.0
2021-07-04 01:00,0.450843,5.5
2021-07-04 02:00,0.006777,3.0
2021-07-04 03:00,1.347729,4.0
2021-07-04 04:00,0.354128,4.0
2021-07-04 05:00,1.405060,2.5
2021-07-04 06:00,1.917709,1.5
2021-08-01 12:00,1.132166,0.0
2021-08-01 13:00,1.267759,0.0
2021-08-01 14:00,0.313468,0.0
2021-08-01 15:00,1.098846,0.0
2021-08-01 16:00,0.211638,0.0
2021-08-01 17:00,0.521538,12.5
2021-08-01 18:00,2.506696,0.0
2021-08-01 19:00,0.339186,2.0
2021-08-01 20:00,2.238348,2.0
2021-08-01 21:00,1.338090,0.5
2021-08-01 22:00,0.116816,1.0
2021-10-04 17:00,1.392707,0.0
2021-10-04 18:00,0.730238,1.0
2021-10-04 19:00,1.786518,2.5
2021-10-04 20:00,1.646534,6.5
2021-10-04 21:00,0.575906,9.0
2021-10-04 22:00,0.644894,17.5
2021-10-04 23:00,2.634389,9.5
2021-10-05 00:00,2.323706,3.5
2021-10-05 01:00,2.284509,6.5
2021-10-05 02:00,0.493358,2.0
2021-10-05 03:00,1.245297,2.0
2022-03-12 19:00,0.261476,0.0
2022-03-12 20:00,1.187763,0.0
2022-03-12 21:00,0.153665,0.0
2022-03-12 22:00,0.455608,0.0
2022-03-12 23:00,0.667158,1.0
2022-03-13 00:00,1.076724,9.5
2022-03-13 01:00,2.134928,5.0
2022-03-13 02:00,1.590329,4.5
2022-03-13 03:00,1.657053,4.0
2022-03-13 04:00,0.107987,2.0
2022-03-13 05:00,1.470327,1.0
2022-06-23 20:00,1.074292,6.0
2022-06-23 21:00,1.132631,2.0
2022-06-23 22:00,0.544401,1.0
2022-06-23 23:00,1.785941,2.0
2022-06-24 00:00,0.154340,1.5
2022-06-24 01:00,0.085809,7.0
2022-06-24 02:00,0.319019,2.0
