datetime,predicted precipitation,ground_truth,predict
2021-04-03 09:00,0.441169,0.0,"tensor(0, device='cuda:1')"
2021-04-03 10:00,0.554571,0.0,"tensor(0, device='cuda:1')"
2021-04-03 11:00,0.425608,0.0,"tensor(0, device='cuda:1')"
2021-04-03 12:00,1.741883,1.5,"tensor(1, device='cuda:1')"
2021-04-03 13:00,4.802892,8.0,"tensor(2, device='cuda:1')"
2021-04-03 14:00,5.219923,6.0,"tensor(2, device='cuda:1')"
2021-04-03 15:00,0.991554,4.0,"tensor(1, device='cuda:1')"
2021-04-03 16:00,1.691886,3.5,"tensor(1, device='cuda:1')"
2021-04-03 17:00,3.793015,5.5,"tensor(2, device='cuda:1')"
2021-04-03 18:00,0.819451,3.0,"tensor(1, device='cuda:1')"
2021-04-03 19:00,0.916581,2.5,"tensor(1, device='cuda:1')"
2021-07-03 20:00,3.492565,5.5,"tensor(2, device='cuda:1')"
2021-07-03 21:00,1.310584,4.5,"tensor(1, device='cuda:1')"
2021-07-03 22:00,0.728129,3.5,"tensor(1, device='cuda:1')"
2021-07-03 23:00,0.641658,2.5,"tensor(1, device='cuda:1')"
2021-07-04 00:00,1.424066,3.0,"tensor(1, device='cuda:1')"
2021-07-04 01:00,2.621491,5.5,"tensor(2, device='cuda:1')"
2021-07-04 02:00,0.896953,3.0,"tensor(1, device='cuda:1')"
2021-07-04 03:00,1.051915,4.0,"tensor(1, device='cuda:1')"
2021-07-04 04:00,0.856464,4.0,"tensor(1, device='cuda:1')"
2021-07-04 05:00,0.907892,2.5,"tensor(1, device='cuda:1')"
2021-07-04 06:00,1.108909,1.5,"tensor(1, device='cuda:1')"
2021-08-01 12:00,0.413164,0.0,"tensor(0, device='cuda:1')"
2021-08-01 13:00,0.439891,0.0,"tensor(0, device='cuda:1')"
2021-08-01 14:00,0.471169,0.0,"tensor(0, device='cuda:1')"
2021-08-01 15:00,0.473372,0.0,"tensor(0, device='cuda:1')"
2021-08-01 16:00,0.414535,0.0,"tensor(0, device='cuda:1')"
2021-08-01 17:00,4.361349,12.5,"tensor(2, device='cuda:1')"
2021-08-01 18:00,0.483567,0.0,"tensor(0, device='cuda:1')"
2021-08-01 19:00,1.048989,2.0,"tensor(1, device='cuda:1')"
2021-08-01 20:00,1.676344,2.0,"tensor(1, device='cuda:1')"
2021-08-01 21:00,0.479192,0.5,"tensor(0, device='cuda:1')"
2021-08-01 22:00,0.875498,1.0,"tensor(1, device='cuda:1')"
2021-10-04 17:00,0.434578,0.0,"tensor(0, device='cuda:1')"
2021-10-04 18:00,1.220880,1.0,"tensor(1, device='cuda:1')"
2021-10-04 19:00,1.274275,2.5,"tensor(1, device='cuda:1')"
2021-10-04 20:00,5.954336,6.5,"tensor(2, device='cuda:1')"
2021-10-04 21:00,4.986233,9.0,"tensor(2, device='cuda:1')"
2021-10-04 22:00,6.124610,17.5,"tensor(2, device='cuda:1')"
2021-10-04 23:00,5.669488,9.5,"tensor(2, device='cuda:1')"
2021-10-05 00:00,0.764401,3.5,"tensor(1, device='cuda:1')"
2021-10-05 01:00,3.886185,6.5,"tensor(2, device='cuda:1')"
2021-10-05 02:00,0.793043,2.0,"tensor(1, device='cuda:1')"
2021-10-05 03:00,1.032569,2.0,"tensor(1, device='cuda:1')"
2022-03-12 19:00,0.399364,0.0,"tensor(0, device='cuda:1')"
2022-03-12 20:00,0.411575,0.0,"tensor(0, device='cuda:1')"
2022-03-12 21:00,0.407851,0.0,"tensor(0, device='cuda:1')"
2022-03-12 22:00,0.422527,0.0,"tensor(0, device='cuda:1')"
2022-03-12 23:00,0.738422,1.0,"tensor(1, device='cuda:1')"
2022-03-13 00:00,5.560664,9.5,"tensor(2, device='cuda:1')"
2022-03-13 01:00,8.108227,5.0,"tensor(2, device='cuda:1')"
2022-03-13 02:00,2.228952,4.5,"tensor(1, device='cuda:1')"
2022-03-13 03:00,2.123354,4.0,"tensor(1, device='cuda:1')"
2022-03-13 04:00,1.101705,2.0,"tensor(1, device='cuda:1')"
2022-03-13 05:00,1.263555,1.0,"tensor(1, device='cuda:1')"
2022-06-23 20:00,5.873879,6.0,"tensor(2, device='cuda:1')"
2022-06-23 21:00,1.618581,2.0,"tensor(1, device='cuda:1')"
2022-06-23 22:00,1.150997,1.0,"tensor(1, device='cuda:1')"
2022-06-23 23:00,0.941908,2.0,"tensor(1, device='cuda:1')"
2022-06-24 00:00,1.165057,1.5,"tensor(1, device='cuda:1')"
2022-06-24 01:00,3.725573,7.0,"tensor(2, device='cuda:1')"
2022-06-24 02:00,0.953289,2.0,"tensor(1, device='cuda:1')"
2022-06-24 03:00,0.464007,0.5,"tensor(0, device='cuda:1')"
2022-06-24 04:00,0.421896,0.5,"tensor(0, device='cuda:1')"
2022-06-24 05:00,0.417325,0.0,"tensor(0, device='cuda:1')"
2022-06-24 06:00,0.416307,0.0,"tensor(0, device='cuda:1')"
2022-06-26 04:00,0.398341,0.0,"tensor(0, device='cuda:1')"
2022-06-26 05:00,0.403136,0.0,"tensor(0, device='cuda:1')"
2022-06-26 06:00,0.453855,0.0,"tensor(0, device='cuda:1')"
2022-06-26 07:00,0.421447,0.0,"tensor(0, device='cuda:1')"
2022-06-26 08:00,1.942859,1.0,"tensor(1, device='cuda:1')"
2022-06-26 09:00,6.055757,27.0,"tensor(2, device='cuda:1')"
2022-06-26 10:00,0.694068,1.5,"tensor(1, device='cuda:1')"
2022-06-26 11:00,1.064429,2.5,"tensor(1, device='cuda:1')"
2022-06-26 12:00,3.767848,13.0,"tensor(2, device='cuda:1')"
2022-06-26 13:00,0.458065,0.0,"tensor(0, device='cuda:1')"
2022-06-26 14:00,0.395163,0.0,"tensor(0, device='cuda:1')"
2022-07-31 10:00,0.432419,0.0,"tensor(0, device='cuda:1')"
2022-07-31 11:00,0.445833,0.0,"tensor(0, device='cuda:1')"
2022-07-31 12:00,0.405933,0.0,"tensor(0, device='cuda:1')"
2022-07-31 13:00,0.386329,0.0,"tensor(0, device='cuda:1')"
2022-07-31 14:00,1.393790,3.0,"tensor(1, device='cuda:1')"
2022-07-31 15:00,4.766214,5.5,"tensor(2, device='cuda:1')"
2022-07-31 16:00,0.574496,0.5,"tensor(0, device='cuda:1')"
2022-07-31 17:00,4.061437,7.5,"tensor(2, device='cuda:1')"
2022-07-31 18:00,1.015494,3.0,"tensor(1, device='cuda:1')"
2022-07-31 19:00,1.169902,3.5,"tensor(1, device='cuda:1')"
2022-07-31 20:00,0.453054,0.5,"tensor(0, device='cuda:1')"
2022-08-02 21:00,0.986932,1.5,"tensor(1, device='cuda:1')"
2022-08-02 22:00,1.053203,2.0,"tensor(1, device='cuda:1')"
2022-08-02 23:00,0.496176,0.0,"tensor(0, device='cuda:1')"
2022-08-03 00:00,0.437333,0.5,"tensor(0, device='cuda:1')"
2022-08-03 01:00,4.351547,9.5,"tensor(2, device='cuda:1')"
2022-08-03 02:00,4.809682,7.5,"tensor(2, device='cuda:1')"
2022-08-03 03:00,1.100812,1.5,"tensor(1, device='cuda:1')"
2022-08-03 04:00,0.866558,3.0,"tensor(1, device='cuda:1')"
2022-08-03 05:00,1.084139,2.0,"tensor(1, device='cuda:1')"
2022-08-03 06:00,0.496245,0.5,"tensor(0, device='cuda:1')"
2022-08-03 07:00,0.484585,0.0,"tensor(0, device='cuda:1')"
2022-08-08 08:00,1.832349,2.5,"tensor(1, device='cuda:1')"
2022-08-08 09:00,0.414950,0.5,"tensor(0, device='cuda:1')"
2022-08-08 10:00,1.733653,1.0,"tensor(1, device='cuda:1')"
2022-08-08 11:00,1.930618,2.0,"tensor(1, device='cuda:1')"
2022-08-08 12:00,1.182443,4.0,"tensor(1, device='cuda:1')"
2022-08-08 13:00,4.886356,5.5,"tensor(2, device='cuda:1')"
2022-08-08 14:00,0.956923,4.0,"tensor(1, device='cuda:1')"
2022-08-08 15:00,0.322810,0.0,"tensor(0, device='cuda:1')"
2022-08-08 16:00,0.484875,0.0,"tensor(0, device='cuda:1')"
2022-08-08 17:00,0.513492,0.5,"tensor(0, device='cuda:1')"
2022-08-08 18:00,6.076837,8.5,"tensor(2, device='cuda:1')"
2022-08-09 10:00,0.448819,0.0,"tensor(0, device='cuda:1')"
2022-08-09 11:00,0.465353,0.0,"tensor(0, device='cuda:1')"
2022-08-09 12:00,0.378875,0.0,"tensor(0, device='cuda:1')"
2022-08-09 13:00,0.986368,1.5,"tensor(1, device='cuda:1')"
