datetime,predicted precipitation,ground_truth
2021-04-03 09:00,43647.566406,0.0
2021-04-03 10:00,43896.488281,0.0
2021-04-03 11:00,26140.326172,0.0
2021-04-03 12:00,15532.853516,1.5
2021-04-03 13:00,22186.929688,8.0
2021-04-03 14:00,13171.961914,6.0
2021-04-03 15:00,19472.595703,4.0
2021-04-03 16:00,14919.819336,3.5
2021-04-03 17:00,15707.289062,5.5
2021-04-03 18:00,17174.351562,3.0
2021-04-03 19:00,20843.511719,2.5
2021-07-03 20:00,17568.306641,5.5
2021-07-03 21:00,20251.570312,4.5
2021-07-03 22:00,23808.445312,3.5
2021-07-03 23:00,27472.808594,2.5
2021-07-04 00:00,16714.062500,3.0
2021-07-04 01:00,32074.300781,5.5
2021-07-04 02:00,19878.371094,3.0
2021-07-04 03:00,21115.646484,4.0
2021-07-04 04:00,37890.320312,4.0
2021-07-04 05:00,40712.792969,2.5
2021-07-04 06:00,42437.574219,1.5
2021-08-01 12:00,43716.414062,0.0
2021-08-01 13:00,42472.003906,0.0
2021-08-01 14:00,41418.960938,0.0
2021-08-01 15:00,44101.152344,0.0
2021-08-01 16:00,44434.687500,0.0
2021-08-01 17:00,43618.023438,12.5
2021-08-01 18:00,43721.019531,0.0
2021-08-01 19:00,24852.257812,2.0
2021-08-01 20:00,25477.410156,2.0
2021-08-01 21:00,22162.109375,0.5
2021-08-01 22:00,38625.097656,1.0
2021-10-04 17:00,25218.738281,0.0
2021-10-04 18:00,18237.722656,1.0
2021-10-04 19:00,20974.287109,2.5
2021-10-04 20:00,26821.341797,6.5
2021-10-04 21:00,23655.656250,9.0
2021-10-04 22:00,22770.494141,17.5
2021-10-04 23:00,25125.632812,9.5
2021-10-05 00:00,42598.613281,3.5
2021-10-05 01:00,44057.996094,6.5
2021-10-05 02:00,44140.277344,2.0
2021-10-05 03:00,43485.089844,2.0
2022-03-12 19:00,43381.433594,0.0
2022-03-12 20:00,43507.960938,0.0
2022-03-12 21:00,43420.957031,0.0
2022-03-12 22:00,43663.578125,0.0
2022-03-12 23:00,34234.113281,1.0
2022-03-13 00:00,25573.970703,9.5
2022-03-13 01:00,19439.494141,5.0
2022-03-13 02:00,16148.001953,4.5
2022-03-13 03:00,20568.476562,4.0
2022-03-13 04:00,44312.808594,2.0
2022-03-13 05:00,42961.953125,1.0
2022-06-23 20:00,42532.582031,6.0
2022-06-23 21:00,18069.230469,2.0
