datetime,predicted precipitation,ground_truth,predict
2021-04-03 09:00,43.814106,0.0,"tensor(0, device='cuda:0')"
2021-04-03 10:00,45.855103,0.0,"tensor(0, device='cuda:0')"
2021-04-03 11:00,36.439392,0.0,"tensor(0, device='cuda:0')"
2021-04-03 12:00,177.087463,1.5,"tensor(1, device='cuda:0')"
2021-04-03 13:00,749.165771,8.0,"tensor(2, device='cuda:0')"
2021-04-03 14:00,679.670898,6.0,"tensor(2, device='cuda:0')"
2021-04-03 15:00,234.163345,4.0,"tensor(1, device='cuda:0')"
2021-04-03 16:00,194.250946,3.5,"tensor(1, device='cuda:0')"
2021-04-03 17:00,1027.954102,5.5,"tensor(2, device='cuda:0')"
2021-04-03 18:00,234.525925,3.0,"tensor(1, device='cuda:0')"
2021-04-03 19:00,129.453094,2.5,"tensor(1, device='cuda:0')"
2021-07-03 20:00,897.404358,5.5,"tensor(2, device='cuda:0')"
2021-07-03 21:00,184.209900,4.5,"tensor(1, device='cuda:0')"
2021-07-03 22:00,131.645996,3.5,"tensor(1, device='cuda:0')"
2021-07-03 23:00,141.340515,2.5,"tensor(1, device='cuda:0')"
2021-07-04 00:00,127.405281,3.0,"tensor(1, device='cuda:0')"
2021-07-04 01:00,697.246765,5.5,"tensor(2, device='cuda:0')"
2021-07-04 02:00,120.852936,3.0,"tensor(1, device='cuda:0')"
2021-07-04 03:00,136.365173,4.0,"tensor(1, device='cuda:0')"
2021-07-04 04:00,170.407257,4.0,"tensor(1, device='cuda:0')"
2021-07-04 05:00,170.352142,2.5,"tensor(1, device='cuda:0')"
2021-07-04 06:00,179.108032,1.5,"tensor(1, device='cuda:0')"
2021-08-01 12:00,45.541817,0.0,"tensor(0, device='cuda:0')"
2021-08-01 13:00,45.112679,0.0,"tensor(0, device='cuda:0')"
2021-08-01 14:00,45.117897,0.0,"tensor(0, device='cuda:0')"
2021-08-01 15:00,45.860710,0.0,"tensor(0, device='cuda:0')"
2021-08-01 16:00,45.820778,0.0,"tensor(0, device='cuda:0')"
2021-08-01 17:00,846.946716,12.5,"tensor(2, device='cuda:0')"
2021-08-01 18:00,43.096725,0.0,"tensor(0, device='cuda:0')"
2021-08-01 19:00,159.607346,2.0,"tensor(1, device='cuda:0')"
2021-08-01 20:00,92.598969,2.0,"tensor(1, device='cuda:0')"
2021-08-01 21:00,42.133591,0.5,"tensor(0, device='cuda:0')"
2021-08-01 22:00,173.017090,1.0,"tensor(1, device='cuda:0')"
2021-10-04 17:00,36.229874,0.0,"tensor(0, device='cuda:0')"
2021-10-04 18:00,111.934937,1.0,"tensor(1, device='cuda:0')"
2021-10-04 19:00,126.024109,2.5,"tensor(1, device='cuda:0')"
2021-10-04 20:00,589.379883,6.5,"tensor(2, device='cuda:0')"
2021-10-04 21:00,498.402924,9.0,"tensor(2, device='cuda:0')"
2021-10-04 22:00,453.791565,17.5,"tensor(2, device='cuda:0')"
2021-10-04 23:00,616.532227,9.5,"tensor(2, device='cuda:0')"
2021-10-05 00:00,165.866470,3.5,"tensor(1, device='cuda:0')"
2021-10-05 01:00,869.419067,6.5,"tensor(2, device='cuda:0')"
2021-10-05 02:00,178.851685,2.0,"tensor(1, device='cuda:0')"
2021-10-05 03:00,193.367615,2.0,"tensor(1, device='cuda:0')"
2022-03-12 19:00,46.686417,0.0,"tensor(0, device='cuda:0')"
2022-03-12 20:00,46.181190,0.0,"tensor(0, device='cuda:0')"
2022-03-12 21:00,45.736202,0.0,"tensor(0, device='cuda:0')"
2022-03-12 22:00,45.581459,0.0,"tensor(0, device='cuda:0')"
2022-03-12 23:00,134.460922,1.0,"tensor(1, device='cuda:0')"
2022-03-13 00:00,696.812256,9.5,"tensor(2, device='cuda:0')"
2022-03-13 01:00,741.554321,5.0,"tensor(2, device='cuda:0')"
2022-03-13 02:00,97.779526,4.5,"tensor(1, device='cuda:0')"
2022-03-13 03:00,86.827713,4.0,"tensor(1, device='cuda:0')"
2022-03-13 04:00,188.400040,2.0,"tensor(1, device='cuda:0')"
2022-03-13 05:00,174.900146,1.0,"tensor(1, device='cuda:0')"
2022-06-23 20:00,830.867432,6.0,"tensor(2, device='cuda:0')"
2022-06-23 21:00,128.147919,2.0,"tensor(1, device='cuda:0')"
2022-06-23 22:00,170.374237,1.0,"tensor(1, device='cuda:0')"
2022-06-23 23:00,178.529053,2.0,"tensor(1, device='cuda:0')"
2022-06-24 00:00,122.880234,1.5,"tensor(1, device='cuda:0')"
2022-06-24 01:00,569.134033,7.0,"tensor(2, device='cuda:0')"
2022-06-24 02:00,180.850067,2.0,"tensor(1, device='cuda:0')"
2022-06-24 03:00,45.480457,0.5,"tensor(0, device='cuda:0')"
2022-06-24 04:00,46.467587,0.5,"tensor(0, device='cuda:0')"
2022-06-24 05:00,47.504234,0.0,"tensor(0, device='cuda:0')"
2022-06-24 06:00,46.628643,0.0,"tensor(0, device='cuda:0')"
2022-06-26 04:00,45.734047,0.0,"tensor(0, device='cuda:0')"
2022-06-26 05:00,47.344475,0.0,"tensor(0, device='cuda:0')"
2022-06-26 06:00,46.408936,0.0,"tensor(0, device='cuda:0')"
2022-06-26 07:00,48.754768,0.0,"tensor(0, device='cuda:0')"
2022-06-26 08:00,125.618736,1.0,"tensor(1, device='cuda:0')"
2022-06-26 09:00,528.247070,27.0,"tensor(2, device='cuda:0')"
2022-06-26 10:00,177.834274,1.5,"tensor(1, device='cuda:0')"
2022-06-26 11:00,187.647064,2.5,"tensor(1, device='cuda:0')"
2022-06-26 12:00,741.221619,13.0,"tensor(2, device='cuda:0')"
2022-06-26 13:00,46.067238,0.0,"tensor(0, device='cuda:0')"
2022-06-26 14:00,46.494999,0.0,"tensor(0, device='cuda:0')"
2022-07-31 10:00,46.174992,0.0,"tensor(0, device='cuda:0')"
2022-07-31 11:00,43.672646,0.0,"tensor(0, device='cuda:0')"
2022-07-31 12:00,46.964485,0.0,"tensor(0, device='cuda:0')"
2022-07-31 13:00,37.490200,0.0,"tensor(0, device='cuda:0')"
