datetime,predicted precipitation,ground_truth
2021-03-01 07:00,-0.216226,4.0
2021-03-01 08:00,-0.006355,4.0
2021-03-01 09:00,-0.053793,6.0
2021-03-01 10:00,0.153826,4.5
2021-04-03 11:00,0.151753,0.0
2021-04-03 12:00,0.110828,1.5
2021-04-03 13:00,-0.118177,8.0
2021-04-03 14:00,0.375936,6.0
2021-04-03 15:00,-0.216259,4.0
2021-04-03 16:00,-0.006302,3.5
2021-04-03 17:00,-0.053820,5.5
2021-04-03 18:00,0.153858,3.0
2021-04-30 20:00,0.151758,0.0
2021-04-30 21:00,0.110789,0.0
2021-04-30 22:00,-0.118206,5.0
2021-04-30 23:00,0.375926,1.0
2021-05-07 08:00,-0.216167,0.0
2021-05-07 09:00,-0.006463,0.0
2021-05-07 10:00,-0.053904,5.0
2021-05-07 11:00,0.153935,2.5
2021-05-16 04:00,0.151690,0.0
2021-05-16 05:00,0.110668,2.5
2021-05-16 06:00,-0.118192,8.0
2021-05-16 07:00,0.375854,2.0
2021-05-16 08:00,-0.216256,5.5
2021-05-16 09:00,-0.006268,3.0
2021-05-16 11:00,-0.053796,1.5
2021-05-16 12:00,0.153906,3.0
2021-05-16 13:00,0.151831,5.5
2021-05-16 14:00,0.110838,5.0
2021-05-25 06:00,-0.118145,0.0
2021-05-25 07:00,0.375868,2.0
2021-05-25 08:00,-0.216119,5.0
2021-05-25 09:00,-0.006263,5.5
2021-05-25 10:00,-0.053802,5.0
2021-05-25 11:00,0.153909,1.0
2021-05-27 10:00,0.151692,1.0
2021-05-27 11:00,0.110750,1.5
2021-05-27 12:00,-0.118034,6.5
2021-05-27 13:00,0.375858,8.5
2021-05-28 04:00,-0.216259,0.0
2021-05-28 05:00,-0.006473,2.5
2021-05-28 06:00,-0.053833,5.0
2021-05-28 07:00,0.153925,1.5
2021-05-28 22:00,0.151682,1.0
2021-05-28 23:00,0.110743,2.0
2021-05-29 00:00,-0.118107,5.0
2021-05-29 01:00,0.375910,0.5
2021-06-03 15:00,-0.216190,0.0
2021-06-03 16:00,-0.006405,1.5
2021-06-03 17:00,-0.053842,5.0
2021-06-03 18:00,0.153886,2.0
2021-07-03 18:00,0.151762,1.0
2021-07-03 19:00,0.110865,2.0
2021-07-03 20:00,-0.118099,5.5
2021-07-03 21:00,0.375889,4.5
2021-07-03 23:00,-0.216226,2.5
2021-07-04 00:00,-0.006335,3.0
2021-07-04 01:00,-0.053801,5.5
2021-07-04 02:00,0.153858,3.0
2021-07-10 15:00,0.151780,0.0
2021-07-10 16:00,0.110849,4.0
2021-07-10 17:00,-0.118105,8.5
2021-07-10 18:00,0.375917,2.5
2021-08-01 15:00,-0.216133,0.0
2021-08-01 16:00,-0.006426,0.0
2021-08-01 17:00,-0.053850,12.5
2021-08-01 18:00,0.153858,0.0
2021-08-21 11:00,0.151745,1.5
2021-08-21 12:00,0.110850,4.5
2021-08-21 13:00,-0.118114,5.0
2021-08-21 14:00,0.375892,4.5
2021-08-24 18:00,-0.216143,0.0
2021-08-24 19:00,-0.006383,0.5
2021-08-24 20:00,-0.053838,5.0
2021-08-24 21:00,0.153872,2.0
