datetime,predicted precipitation,ground_truth
2021-04-03 15:00,0.019176,4.0
2021-04-03 16:00,0.019146,3.5
2021-04-03 17:00,0.019148,5.5
2021-04-03 18:00,0.019181,3.0
2021-04-30 20:00,0.018950,0.0
2021-04-30 21:00,0.018950,0.0
2021-04-30 22:00,0.018948,5.0
2021-04-30 23:00,0.018971,1.0
2021-05-07 08:00,0.018968,0.0
2021-05-07 09:00,0.018972,0.0
2021-05-07 10:00,0.018967,5.0
2021-05-07 11:00,0.018992,2.5
2021-05-16 04:00,0.019100,0.0
2021-05-16 05:00,0.019114,2.5
2021-05-16 06:00,0.019116,8.0
2021-05-16 07:00,0.019136,2.0
2021-05-16 08:00,0.019163,5.5
2021-05-16 09:00,0.019143,3.0
2021-05-16 11:00,0.019117,1.5
2021-05-16 12:00,0.019120,3.0
2021-05-16 13:00,0.019126,5.5
2021-05-16 14:00,0.019139,5.0
2021-05-25 06:00,0.019059,0.0
2021-05-25 07:00,0.019116,2.0
2021-05-25 08:00,0.019092,5.0
2021-05-25 09:00,0.019039,5.5
2021-05-25 10:00,0.019020,5.0
2021-05-25 11:00,0.018992,1.0
2021-05-27 10:00,0.019030,1.0
2021-05-27 11:00,0.018966,1.5
2021-05-27 12:00,0.019000,6.5
2021-05-27 13:00,0.018988,8.5
2021-05-28 04:00,0.019021,0.0
2021-05-28 05:00,0.019059,2.5
2021-05-28 06:00,0.019107,5.0
2021-05-28 07:00,0.019078,1.5
2021-05-28 22:00,0.018987,1.0
2021-05-28 23:00,0.018980,2.0
2021-05-29 00:00,0.018989,5.0
2021-05-29 01:00,0.018986,0.5
2021-06-03 15:00,0.019103,0.0
2021-06-03 16:00,0.019210,1.5
2021-06-03 17:00,0.019197,5.0
2021-06-03 18:00,0.019184,2.0
2021-07-03 18:00,0.019143,1.0
2021-07-03 19:00,0.019137,2.0
2021-07-03 20:00,0.019104,5.5
2021-07-03 21:00,0.019104,4.5
2021-07-03 23:00,0.019131,2.5
2021-07-04 00:00,0.019147,3.0
2021-07-04 01:00,0.019106,5.5
2021-07-04 02:00,0.019109,3.0
2021-07-10 15:00,0.018970,0.0
2021-07-10 16:00,0.018980,4.0
2021-07-10 17:00,0.018983,8.5
2021-07-10 18:00,0.018966,2.5
2021-08-01 15:00,0.019039,0.0
2021-08-01 16:00,0.019026,0.0
2021-08-01 17:00,0.019031,12.5
2021-08-01 18:00,0.019083,0.0
