datetime,predicted precipitation,ground_truth,predict
2021-07-03 13:00,0.863506,0.0,"tensor(0, device='cuda:0')"
2021-07-03 14:00,0.892973,0.0,"tensor(0, device='cuda:0')"
2021-07-03 15:00,0.178170,0.0,"tensor(0, device='cuda:0')"
2021-07-03 16:00,0.335565,1.0,"tensor(0, device='cuda:0')"
2021-07-03 17:00,12.340292,10.0,"tensor(2, device='cuda:0')"
2021-07-03 18:00,0.148503,16.5,"tensor(2, device='cuda:0')"
2021-07-03 19:00,0.324175,11.0,"tensor(2, device='cuda:0')"
2021-07-03 20:00,8.504998,8.5,"tensor(2, device='cuda:0')"
2021-07-03 21:00,9.592957,11.5,"tensor(2, device='cuda:0')"
2021-07-03 22:00,0.798293,2.5,"tensor(1, device='cuda:0')"
2021-07-03 23:00,5.750021,8.5,"tensor(2, device='cuda:0')"
2022-06-23 17:00,1.997903,2.0,"tensor(1, device='cuda:0')"
2022-06-23 18:00,2.125645,4.0,"tensor(1, device='cuda:0')"
2022-06-23 19:00,2.175342,21.0,"tensor(2, device='cuda:0')"
2022-06-23 20:00,1.246532,16.0,"tensor(2, device='cuda:0')"
2022-06-23 21:00,0.829508,0.5,"tensor(0, device='cuda:0')"
2022-06-23 22:00,1.524902,15.0,"tensor(2, device='cuda:0')"
2022-06-23 23:00,1.371608,1.5,"tensor(1, device='cuda:0')"
2022-06-24 00:00,0.556276,0.0,"tensor(0, device='cuda:0')"
2022-06-24 01:00,8.431972,10.0,"tensor(2, device='cuda:0')"
2022-06-24 02:00,11.103570,9.5,"tensor(2, device='cuda:0')"
2022-06-24 03:00,0.879939,0.5,"tensor(0, device='cuda:0')"
2022-06-30 01:00,0.106634,3.0,"tensor(1, device='cuda:0')"
2022-06-30 02:00,0.744826,4.0,"tensor(1, device='cuda:0')"
2022-06-30 03:00,10.217704,9.5,"tensor(2, device='cuda:0')"
2022-06-30 04:00,5.440655,10.0,"tensor(2, device='cuda:0')"
2022-06-30 05:00,2.498998,25.5,"tensor(2, device='cuda:0')"
2022-06-30 06:00,3.057724,24.0,"tensor(2, device='cuda:0')"
2022-06-30 07:00,1.302960,5.5,"tensor(1, device='cuda:0')"
2022-06-30 08:00,3.239949,11.5,"tensor(2, device='cuda:0')"
2022-06-30 09:00,8.997535,13.0,"tensor(2, device='cuda:0')"
2022-06-30 10:00,11.139087,14.5,"tensor(2, device='cuda:0')"
2022-06-30 11:00,0.424946,6.5,"tensor(1, device='cuda:0')"
2022-06-30 13:00,0.236562,0.0,"tensor(0, device='cuda:0')"
2022-06-30 14:00,0.051814,0.5,"tensor(0, device='cuda:0')"
2022-06-30 15:00,0.239858,1.0,"tensor(0, device='cuda:0')"
2022-06-30 16:00,1.320871,2.5,"tensor(1, device='cuda:0')"
2022-06-30 17:00,0.261170,6.5,"tensor(1, device='cuda:0')"
2022-06-30 18:00,1.201914,40.0,"tensor(2, device='cuda:0')"
2022-06-30 19:00,2.089600,22.0,"tensor(2, device='cuda:0')"
2022-06-30 20:00,0.125877,1.0,"tensor(0, device='cuda:0')"
2022-06-30 21:00,0.862523,0.5,"tensor(0, device='cuda:0')"
2022-06-30 22:00,0.670599,0.0,"tensor(0, device='cuda:0')"
2022-06-30 23:00,0.904171,0.0,"tensor(0, device='cuda:0')"
2022-07-13 07:00,0.073814,0.5,"tensor(0, device='cuda:0')"
2022-07-13 08:00,0.010264,0.0,"tensor(0, device='cuda:0')"
2022-07-13 09:00,0.251949,1.0,"tensor(0, device='cuda:0')"
2022-07-13 10:00,2.056409,2.0,"tensor(1, device='cuda:0')"
2022-07-13 11:00,1.210684,23.0,"tensor(2, device='cuda:0')"
2022-07-13 12:00,4.111147,8.5,"tensor(2, device='cuda:0')"
2022-07-13 13:00,1.385877,3.5,"tensor(1, device='cuda:0')"
2022-07-13 14:00,2.206293,8.0,"tensor(2, device='cuda:0')"
2022-07-13 15:00,0.635863,19.0,"tensor(2, device='cuda:0')"
2022-07-13 16:00,7.207891,33.5,"tensor(2, device='cuda:0')"
2022-07-13 17:00,1.661326,16.5,"tensor(2, device='cuda:0')"
2022-08-08 19:00,0.360583,2.0,"tensor(1, device='cuda:0')"
2022-08-08 20:00,10.671384,10.0,"tensor(2, device='cuda:0')"
2022-08-08 21:00,9.249761,63.0,"tensor(2, device='cuda:0')"
2022-08-08 22:00,3.165493,55.5,"tensor(2, device='cuda:0')"
2022-08-08 23:00,10.740738,84.5,"tensor(2, device='cuda:0')"
2022-08-09 00:00,10.611516,18.5,"tensor(2, device='cuda:0')"
2022-08-09 01:00,0.609548,0.5,"tensor(0, device='cuda:0')"
2022-08-09 02:00,1.992595,6.5,"tensor(1, device='cuda:0')"
2022-08-09 03:00,11.937874,22.5,"tensor(2, device='cuda:0')"
2022-08-09 04:00,12.845722,8.5,"tensor(2, device='cuda:0')"
2022-08-09 05:00,2.009894,3.5,"tensor(1, device='cuda:0')"
2022-09-05 08:00,0.890441,1.0,"tensor(0, device='cuda:0')"
2022-09-05 09:00,1.700722,2.5,"tensor(1, device='cuda:0')"
2022-09-05 10:00,0.091273,4.0,"tensor(1, device='cuda:0')"
2022-09-05 11:00,0.980847,9.0,"tensor(2, device='cuda:0')"
2022-09-05 12:00,5.143024,11.0,"tensor(2, device='cuda:0')"
2022-09-05 13:00,0.685499,12.0,"tensor(2, device='cuda:0')"
2022-09-05 14:00,13.154723,14.5,"tensor(2, device='cuda:0')"
2022-09-05 15:00,2.611086,10.0,"tensor(2, device='cuda:0')"
2022-09-05 16:00,4.951922,9.5,"tensor(2, device='cuda:0')"
2022-09-05 17:00,7.679851,8.5,"tensor(2, device='cuda:0')"
2022-09-05 18:00,0.285663,11.0,"tensor(2, device='cuda:0')"
2022-09-05 19:00,8.652427,8.0,"tensor(2, device='cuda:0')"
2022-09-05 20:00,3.132126,8.0,"tensor(2, device='cuda:0')"
2022-09-05 21:00,7.346528,13.5,"tensor(2, device='cuda:0')"
2022-09-05 22:00,2.375900,11.0,"tensor(2, device='cuda:0')"
2022-09-05 23:00,5.646902,9.5,"tensor(2, device='cuda:0')"
2022-09-06 00:00,2.187265,7.5,"tensor(1, device='cuda:0')"
2022-09-06 01:00,2.065788,5.0,"tensor(1, device='cuda:0')"
2022-09-06 02:00,2.043436,13.0,"tensor(2, device='cuda:0')"
2023-04-05 08:00,1.341853,1.5,"tensor(1, device='cuda:0')"
2023-04-05 09:00,0.974672,2.0,"tensor(1, device='cuda:0')"
2023-04-05 10:00,0.888400,2.0,"tensor(1, device='cuda:0')"
2023-04-05 11:00,0.780572,1.5,"tensor(1, device='cuda:0')"
2023-04-05 12:00,1.426531,5.0,"tensor(1, device='cuda:0')"
2023-04-05 13:00,11.282656,8.5,"tensor(2, device='cuda:0')"
2023-04-05 14:00,0.357041,4.5,"tensor(1, device='cuda:0')"
2023-04-05 15:00,0.857698,0.5,"tensor(0, device='cuda:0')"
2023-04-05 16:00,0.975762,0.0,"tensor(0, device='cuda:0')"
2023-04-05 17:00,0.865254,0.0,"tensor(0, device='cuda:0')"
2023-04-05 18:00,0.884884,0.0,"tensor(0, device='cuda:0')"
2023-07-11 04:00,0.880390,0.0,"tensor(0, device='cuda:0')"
2023-07-11 05:00,0.880390,0.0,"tensor(0, device='cuda:0')"
2023-07-11 06:00,0.880995,0.0,"tensor(0, device='cuda:0')"
2023-07-11 07:00,0.885985,0.0,"tensor(0, device='cuda:0')"
2023-07-11 08:00,0.873093,0.5,"tensor(0, device='cuda:0')"
2023-07-11 09:00,9.838124,14.0,"tensor(2, device='cuda:0')"
