datetime,predicted precipitation,ground_truth
2021-07-03 13:00,147.290878,0.0
2021-07-03 14:00,146.394318,0.0
2021-07-03 15:00,13.602209,0.0
2021-07-03 16:00,14.584004,1.0
2021-07-03 17:00,12.365463,10.0
2021-07-03 18:00,29.033346,16.5
2021-07-03 19:00,16.839890,11.0
2021-07-03 20:00,14.716761,8.5
2021-07-03 21:00,16.680523,11.5
2021-07-03 22:00,8.997604,2.5
2021-07-03 23:00,12.020390,8.5
2022-06-23 17:00,6.877309,2.0
2022-06-23 18:00,15.298608,4.0
2022-06-23 19:00,20.156956,21.0
2022-06-23 20:00,12.031276,16.0
2022-06-23 21:00,6.820881,0.5
2022-06-23 22:00,16.124796,15.0
2022-06-23 23:00,25.139399,1.5
2022-06-24 00:00,37.599953,0.0
2022-06-24 01:00,3.645278,10.0
2022-06-24 02:00,144.913422,9.5
2022-06-24 03:00,153.603241,0.5
2022-06-30 01:00,17.071136,3.0
2022-06-30 02:00,10.978677,4.0
2022-06-30 03:00,11.013940,9.5
2022-06-30 04:00,7.266680,10.0
2022-06-30 05:00,10.039676,25.5
2022-06-30 06:00,17.528448,24.0
2022-06-30 07:00,7.478455,5.5
2022-06-30 08:00,30.671787,11.5
2022-06-30 09:00,7.466444,13.0
2022-06-30 10:00,7.841094,14.5
2022-06-30 11:00,13.187329,6.5
2022-06-30 13:00,20.310440,0.0
2022-06-30 14:00,7.089950,0.5
2022-06-30 15:00,23.718979,1.0
2022-06-30 16:00,29.872240,2.5
2022-06-30 17:00,13.522770,6.5
2022-06-30 18:00,17.244596,40.0
2022-06-30 19:00,16.223139,22.0
2022-06-30 20:00,4.636593,1.0
2022-06-30 21:00,19.265795,0.5
2022-06-30 22:00,3.399604,0.0
2022-06-30 23:00,138.782684,0.0
2022-07-13 07:00,20.770281,0.5
2022-07-13 08:00,18.016096,0.0
2022-07-13 09:00,17.146793,1.0
2022-07-13 10:00,8.034478,2.0
2022-07-13 11:00,32.235390,23.0
2022-07-13 12:00,14.945422,8.5
2022-07-13 13:00,12.046140,3.5
2022-07-13 14:00,15.243626,8.0
2022-07-13 15:00,14.288033,19.0
2022-07-13 16:00,10.074527,33.5
2022-07-13 17:00,15.772520,16.5
2022-08-08 19:00,9.181071,2.0
2022-08-08 20:00,147.670349,10.0
2022-08-08 21:00,115.488594,63.0
2022-08-08 22:00,95.560394,55.5
2022-08-08 23:00,153.516907,84.5
2022-08-09 00:00,142.640976,18.5
2022-08-09 01:00,5.977638,0.5
2022-08-09 02:00,154.999054,6.5
2022-08-09 03:00,142.668091,22.5
2022-08-09 04:00,161.560623,8.5
2022-08-09 05:00,11.979474,3.5
2022-09-05 08:00,135.201141,1.0
2022-09-05 09:00,10.669435,2.5
2022-09-05 10:00,17.073778,4.0
2022-09-05 11:00,22.016882,9.0
2022-09-05 12:00,21.695147,11.0
2022-09-05 13:00,16.483843,12.0
2022-09-05 14:00,13.113510,14.5
2022-09-05 15:00,4.538563,10.0
2022-09-05 16:00,6.037376,9.5
2022-09-05 17:00,8.218493,8.5
2022-09-05 18:00,23.310534,11.0
2022-09-05 19:00,14.472095,8.0
2022-09-05 20:00,21.828510,8.0
2022-09-05 21:00,20.628862,13.5
2022-09-05 22:00,9.922164,11.0
2022-09-05 23:00,14.222738,9.5
2022-09-06 00:00,14.724009,7.5
2022-09-06 01:00,17.141695,5.0
2022-09-06 02:00,28.683577,13.0
2023-04-05 08:00,7.570453,1.5
2023-04-05 09:00,9.559847,2.0
2023-04-05 10:00,4.019188,2.0
2023-04-05 11:00,14.798384,1.5
2023-04-05 12:00,7.864292,5.0
2023-04-05 13:00,11.744489,8.5
2023-04-05 14:00,6.698197,4.5
2023-04-05 15:00,150.359650,0.5
2023-04-05 16:00,123.264046,0.0
2023-04-05 17:00,144.786453,0.0
2023-04-05 18:00,145.738846,0.0
2023-07-11 04:00,146.315613,0.0
2023-07-11 05:00,146.315613,0.0
2023-07-11 06:00,146.765198,0.0
2023-07-11 07:00,154.559036,0.0
2023-07-11 08:00,141.625397,0.5
2023-07-11 09:00,83.915688,14.0
2023-07-11 10:00,45.662487,2.0
2023-07-11 11:00,19.303829,0.0
2023-07-11 12:00,20.607103,0.0
2023-07-11 13:00,148.472687,0.5
2023-07-11 14:00,30.058813,1.0
2023-07-11 15:00,7.673442,20.0
2023-07-11 16:00,13.699005,48.5
2023-07-11 17:00,19.009857,7.5
2023-07-11 18:00,12.273460,2.0
2023-07-11 19:00,5.082844,1.0
2023-07-11 20:00,143.476898,0.0
2023-08-10 13:00,24.338200,7.0
2023-08-10 14:00,27.138845,9.0
2023-08-10 15:00,12.105011,11.0
2023-08-10 16:00,11.443659,5.0
2023-08-10 17:00,14.698324,11.0
2023-08-10 18:00,11.198505,12.5
2023-08-10 19:00,5.008774,8.5
2023-08-10 20:00,5.638568,2.5
2023-08-10 21:00,143.162674,2.0
2023-08-10 22:00,152.013092,2.0
2023-08-10 23:00,155.598846,2.0
2023-08-23 07:00,134.046539,0.5
2023-08-23 08:00,141.850952,0.0
2023-08-23 09:00,143.380692,0.0
2023-08-23 10:00,144.902374,0.0
2023-08-23 11:00,16.419397,3.0
2023-08-23 12:00,13.567746,11.0
2023-08-23 13:00,4.966079,2.0
2023-08-23 14:00,35.050911,6.5
2023-08-23 15:00,9.878942,9.5
2023-08-23 16:00,33.098446,4.0
2023-08-23 17:00,13.497651,2.0
2023-08-29 07:00,150.765320,1.0
2023-08-29 08:00,3.087968,0.5
2023-08-29 09:00,0.520446,0.5
2023-08-29 10:00,150.625854,0.0
2023-08-29 11:00,2.909380,0.0
2023-08-29 12:00,9.341108,12.0
2023-08-29 13:00,10.724406,18.5
2023-08-29 14:00,6.291046,3.5
2023-08-29 15:00,127.219429,0.0
2023-08-29 16:00,157.378677,0.0
2023-08-29 17:00,6.435456,0.0
2023-09-16 19:00,19.477337,0.5
2023-09-16 20:00,65.036644,0.0
2023-09-16 21:00,63.582161,9.0
2023-09-16 22:00,25.487577,5.0
2023-09-16 23:00,6.995247,1.5
2023-09-17 00:00,19.796469,12.5
2023-09-17 01:00,4.994796,0.5
2023-09-17 02:00,153.927521,0.0
2023-09-17 03:00,152.010651,0.0
2023-09-17 04:00,146.845276,0.0
2023-09-17 05:00,142.823242,0.0
2023-11-05 23:00,7.942026,0.0
2023-11-06 00:00,10.960514,0.5
2023-11-06 01:00,12.468546,4.0
2023-11-06 02:00,13.201220,2.0
2023-11-06 03:00,22.901930,15.5
2023-11-06 04:00,10.510199,20.5
2023-11-06 05:00,155.670547,3.5
2023-11-06 06:00,161.230469,0.0
2023-11-06 07:00,20.499327,0.0
2023-11-06 08:00,86.358170,6.0
2023-11-06 09:00,146.971054,1.5
