datetime,predicted precipitation,ground_truth
2021-07-03 13:00,168.919510,0.0
2021-07-03 14:00,168.961472,0.0
2021-07-03 15:00,43.766129,0.0
2021-07-03 16:00,0.013114,1.0
2021-07-03 17:00,0.013114,10.0
2021-07-03 18:00,91.074158,16.5
2021-07-03 19:00,60.902519,11.0
2021-07-03 20:00,0.013114,8.5
2021-07-03 21:00,0.013114,11.5
2021-07-03 22:00,122.605469,2.5
2021-07-03 23:00,0.013114,8.5
2022-06-23 17:00,0.013114,2.0
2022-06-23 18:00,0.013114,4.0
2022-06-23 19:00,36.476452,21.0
2022-06-23 20:00,65.088257,16.0
2022-06-23 21:00,158.322159,0.5
2022-06-23 22:00,16.551859,15.0
2022-06-23 23:00,0.013114,1.5
2022-06-24 00:00,122.826523,0.0
2022-06-24 01:00,0.013114,10.0
2022-06-24 02:00,171.923813,9.5
2022-06-24 03:00,169.258591,0.5
2022-06-30 01:00,52.591042,3.0
2022-06-30 02:00,19.447346,4.0
2022-06-30 03:00,0.013114,9.5
2022-06-30 04:00,32.321186,10.0
2022-06-30 05:00,23.080622,25.5
2022-06-30 06:00,136.003708,24.0
2022-06-30 07:00,0.013114,5.5
2022-06-30 08:00,11.246269,11.5
2022-06-30 09:00,0.013114,13.0
2022-06-30 10:00,0.013114,14.5
2022-06-30 11:00,19.010094,6.5
2022-06-30 13:00,159.157623,0.0
2022-06-30 14:00,4.067779,0.5
2022-06-30 15:00,16.729065,1.0
2022-06-30 16:00,0.013114,2.5
2022-06-30 17:00,92.652374,6.5
2022-06-30 18:00,86.382523,40.0
2022-06-30 19:00,33.858105,22.0
2022-06-30 20:00,126.077682,1.0
2022-06-30 21:00,154.742477,0.5
2022-06-30 22:00,156.344070,0.0
2022-06-30 23:00,169.420853,0.0
2022-07-13 07:00,7.561812,0.5
2022-07-13 08:00,0.013114,0.0
2022-07-13 09:00,0.013114,1.0
2022-07-13 10:00,0.013114,2.0
2022-07-13 11:00,94.610031,23.0
2022-07-13 12:00,0.645743,8.5
2022-07-13 13:00,1.893533,3.5
2022-07-13 14:00,59.439056,8.0
2022-07-13 15:00,54.673698,19.0
2022-07-13 16:00,0.013114,33.5
2022-07-13 17:00,72.852203,16.5
2022-08-08 19:00,40.069016,2.0
2022-08-08 20:00,170.013748,10.0
2022-08-08 21:00,169.265305,63.0
2022-08-08 22:00,167.187973,55.5
2022-08-08 23:00,169.621170,84.5
2022-08-09 00:00,169.391327,18.5
2022-08-09 01:00,108.606659,0.5
2022-08-09 02:00,169.318283,6.5
2022-08-09 03:00,169.439331,22.5
2022-08-09 04:00,168.558517,8.5
2022-08-09 05:00,0.013114,3.5
2022-09-05 08:00,148.469711,1.0
2022-09-05 09:00,0.013114,2.5
2022-09-05 10:00,22.230116,4.0
2022-09-05 11:00,62.216530,9.0
2022-09-05 12:00,10.810821,11.0
2022-09-05 13:00,115.343475,12.0
2022-09-05 14:00,0.013114,14.5
2022-09-05 15:00,1.418308,10.0
2022-09-05 16:00,0.013114,9.5
2022-09-05 17:00,0.013114,8.5
2022-09-05 18:00,0.761113,11.0
2022-09-05 19:00,0.013114,8.0
2022-09-05 20:00,74.658096,8.0
2022-09-05 21:00,0.013114,13.5
2022-09-05 22:00,5.578896,11.0
2022-09-05 23:00,0.013114,9.5
2022-09-06 00:00,0.013114,7.5
2022-09-06 01:00,0.013114,5.0
2022-09-06 02:00,89.700981,13.0
2023-04-05 08:00,123.778458,1.5
2023-04-05 09:00,5.323230,2.0
2023-04-05 10:00,86.578133,2.0
2023-04-05 11:00,1.029168,1.5
2023-04-05 12:00,0.013114,5.0
2023-04-05 13:00,0.013114,8.5
2023-04-05 14:00,117.405807,4.5
2023-04-05 15:00,168.969131,0.5
2023-04-05 16:00,167.192093,0.0
2023-04-05 17:00,169.473892,0.0
2023-04-05 18:00,169.405197,0.0
2023-07-11 04:00,169.357147,0.0
2023-07-11 05:00,169.357147,0.0
2023-07-11 06:00,169.351028,0.0
2023-07-11 07:00,169.205215,0.0
2023-07-11 08:00,168.683243,0.5
2023-07-11 09:00,163.453232,14.0
2023-07-11 10:00,157.744614,2.0
2023-07-11 11:00,97.167175,0.0
2023-07-11 12:00,0.013114,0.0
2023-07-11 13:00,169.416183,0.5
2023-07-11 14:00,55.848064,1.0
2023-07-11 15:00,18.930792,20.0
2023-07-11 16:00,0.013114,48.5
2023-07-11 17:00,81.173660,7.5
2023-07-11 18:00,16.542070,2.0
2023-07-11 19:00,113.761703,1.0
2023-07-11 20:00,169.602524,0.0
2023-08-10 13:00,104.596237,7.0
2023-08-10 14:00,52.784145,9.0
2023-08-10 15:00,0.013114,11.0
2023-08-10 16:00,0.013114,5.0
2023-08-10 17:00,0.013114,11.0
2023-08-10 18:00,4.966837,12.5
2023-08-10 19:00,61.197754,8.5
2023-08-10 20:00,118.654564,2.5
2023-08-10 21:00,168.860107,2.0
2023-08-10 22:00,168.786224,2.0
2023-08-10 23:00,169.261948,2.0
2023-08-23 07:00,169.194870,0.5
2023-08-23 08:00,169.568359,0.0
2023-08-23 09:00,168.909958,0.0
2023-08-23 10:00,170.003403,0.0
2023-08-23 11:00,0.013114,3.0
2023-08-23 12:00,90.857285,11.0
2023-08-23 13:00,0.013114,2.0
2023-08-23 14:00,0.013114,6.5
2023-08-23 15:00,27.886253,9.5
2023-08-23 16:00,59.199478,4.0
2023-08-23 17:00,0.106835,2.0
2023-08-29 07:00,169.651077,1.0
2023-08-29 08:00,148.927734,0.5
2023-08-29 09:00,146.221527,0.5
2023-08-29 10:00,160.575867,0.0
2023-08-29 11:00,1.007496,0.0
2023-08-29 12:00,27.632822,12.0
2023-08-29 13:00,86.862686,18.5
2023-08-29 14:00,2.635168,3.5
2023-08-29 15:00,164.649445,0.0
2023-08-29 16:00,169.605911,0.0
2023-08-29 17:00,76.966087,0.0
2023-09-16 19:00,0.051492,0.5
2023-09-16 20:00,168.328537,0.0
2023-09-16 21:00,148.291611,9.0
2023-09-16 22:00,0.013114,5.0
2023-09-16 23:00,150.827652,1.5
2023-09-17 00:00,0.013114,12.5
2023-09-17 01:00,7.923045,0.5
2023-09-17 02:00,169.695343,0.0
2023-09-17 03:00,169.730789,0.0
2023-09-17 04:00,169.110764,0.0
2023-09-17 05:00,169.249313,0.0
2023-11-05 23:00,47.006493,0.0
2023-11-06 00:00,12.732531,0.5
2023-11-06 01:00,0.013114,4.0
2023-11-06 02:00,0.013114,2.0
2023-11-06 03:00,36.817863,15.5
2023-11-06 04:00,26.502726,20.5
2023-11-06 05:00,171.350693,3.5
2023-11-06 06:00,169.731964,0.0
2023-11-06 07:00,0.013114,0.0
2023-11-06 08:00,100.898125,6.0
2023-11-06 09:00,169.878296,1.5
