datetime,predicted precipitation,ground_truth
2021-07-03 13:00,3.500525,0.0
2021-07-03 14:00,3.518072,0.0
2021-07-03 15:00,0.339420,0.0
2021-07-03 16:00,1.728148,1.0
2021-07-03 17:00,0.106214,10.0
2021-07-03 18:00,0.708281,16.5
2021-07-03 19:00,0.677898,11.0
2021-07-03 20:00,0.091737,8.5
2021-07-03 21:00,1.683591,11.5
2021-07-03 22:00,2.805461,2.5
2021-07-03 23:00,1.871223,8.5
2022-06-23 17:00,0.845125,2.0
2022-06-23 18:00,1.285102,4.0
2022-06-23 19:00,2.466162,21.0
2022-06-23 20:00,2.368088,16.0
2022-06-23 21:00,3.751244,0.5
2022-06-23 22:00,1.797859,15.0
2022-06-23 23:00,1.910036,1.5
2022-06-24 00:00,2.598995,0.0
2022-06-24 01:00,1.372375,10.0
2022-06-24 02:00,3.622402,9.5
2022-06-24 03:00,3.528064,0.5
2022-06-30 01:00,2.592525,3.0
2022-06-30 02:00,1.870801,4.0
2022-06-30 03:00,0.854189,9.5
2022-06-30 04:00,1.851153,10.0
2022-06-30 05:00,1.891721,25.5
2022-06-30 06:00,3.495358,24.0
2022-06-30 07:00,1.669994,5.5
2022-06-30 08:00,2.274038,11.5
2022-06-30 09:00,1.059202,13.0
2022-06-30 10:00,0.977014,14.5
2022-06-30 11:00,0.169305,6.5
2022-06-30 13:00,0.517757,0.0
2022-06-30 14:00,0.322119,0.5
2022-06-30 15:00,0.222308,1.0
2022-06-30 16:00,0.176969,2.5
2022-06-30 17:00,0.288601,6.5
2022-06-30 18:00,0.566992,40.0
2022-06-30 19:00,0.211076,22.0
2022-06-30 20:00,2.279992,1.0
2022-06-30 21:00,3.010888,0.5
2022-06-30 22:00,2.574620,0.0
2022-06-30 23:00,1.712970,0.0
2022-07-13 07:00,1.087642,0.5
2022-07-13 08:00,1.310299,0.0
2022-07-13 09:00,0.077841,1.0
2022-07-13 10:00,1.037575,2.0
2022-07-13 11:00,2.746022,23.0
2022-07-13 12:00,1.708978,8.5
2022-07-13 13:00,1.314885,3.5
2022-07-13 14:00,3.307877,8.0
2022-07-13 15:00,2.324277,19.0
2022-07-13 16:00,1.637170,33.5
2022-07-13 17:00,2.410861,16.5
2022-08-08 19:00,2.351362,2.0
2022-08-08 20:00,3.600033,10.0
2022-08-08 21:00,3.522171,63.0
2022-08-08 22:00,3.407086,55.5
2022-08-08 23:00,3.596317,84.5
2022-08-09 00:00,3.617263,18.5
2022-08-09 01:00,2.427459,0.5
2022-08-09 02:00,3.565986,6.5
2022-08-09 03:00,3.568133,22.5
2022-08-09 04:00,3.534085,8.5
2022-08-09 05:00,1.146951,3.5
2022-09-05 08:00,4.374974,1.0
