datetime,predicted precipitation,ground_truth
2021.7.3 13:00,3.047553,0.0
2021.7.3 14:00,3.244501,0.0
2021.7.3 15:00,2.897623,0.0
2021.7.3 16:00,0.625772,1.0
2021.7.3 17:00,2.718685,10.0
2021.7.3 18:00,1.120547,16.5
2021.7.3 19:00,0.884422,11.0
2021.7.3 20:00,0.752785,8.5
2021.7.3 21:00,3.418524,11.5
2021.7.3 22:00,1.670833,2.5
2021.7.3 23:00,2.752550,8.5
2022.6.23 17:00,7.346371,2.0
2022.6.23 18:00,1.286340,4.0
2022.6.23 19:00,4.568413,21.0
2022.6.23 20:00,2.456847,16.0
2022.6.23 21:00,1.176429,0.5
2022.6.23 22:00,1.086040,15.0
2022.6.23 23:00,4.092868,1.5
2022.6.24 0:00,2.623221,0.0
2022.6.24 1:00,0.719763,10.0
2022.6.24 2:00,0.942087,9.5
2022.6.24 3:00,3.331061,0.5
2022.6.30 1:00,0.208767,3.0
2022.6.30 2:00,0.169043,4.0
2022.6.30 3:00,4.414968,9.5
2022.6.30 4:00,1.378944,10.0
2022.6.30 5:00,1.255930,25.5
2022.6.30 6:00,4.936337,24.0
2022.6.30 7:00,0.673855,5.5
2022.6.30 8:00,3.206024,11.5
2022.6.30 9:00,1.733016,13.0
2022.6.30 10:00,2.300854,14.5
2022.6.30 11:00,0.334491,6.5
2022.6.30 13:00,0.495032,0.0
2022.6.30 14:00,1.205624,0.5
2022.6.30 15:00,0.931526,1.0
2022.6.30 16:00,2.494840,2.5
2022.6.30 17:00,1.348232,6.5
2022.6.30 18:00,1.619178,40.0
2022.6.30 19:00,0.028186,22.0
2022.6.30 20:00,3.828975,1.0
2022.6.30 21:00,1.953699,0.5
2022.6.30 22:00,1.500201,0.0
2022.6.30 23:00,5.292923,0.0
2022.7.13 7:00,3.183792,0.5
2022.7.13 8:00,1.954733,0.0
2022.7.13 9:00,0.591238,1.0
2022.7.13 10:00,0.441443,2.0
2022.7.13 11:00,0.023574,23.0
2022.7.13 12:00,3.646861,8.5
2022.7.13 13:00,0.681707,3.5
2022.7.13 14:00,1.641852,8.0
2022.7.13 15:00,0.304965,19.0
2022.7.13 16:00,2.913897,33.5
2022.7.13 17:00,3.144467,16.5
2022.8.8 19:00,4.913828,2.0
2022.8.8 20:00,5.005553,10.0
2022.8.8 21:00,4.429419,63.0
2022.8.8 22:00,3.201742,55.5
2022.8.8 23:00,4.262265,84.5
2022.8.9 0:00,4.398322,18.5
2022.8.9 1:00,4.447651,0.5
2022.8.9 2:00,3.704814,6.5
2022.8.9 3:00,3.611184,22.5
2022.8.9 4:00,3.147981,8.5
2022.8.9 5:00,0.153972,3.5
2022.9.5 8:00,0.271755,1.0
2022.9.5 9:00,3.891375,2.5
2022.9.5 10:00,3.618467,4.0
2022.9.5 11:00,1.512872,9.0
2022.9.5 12:00,5.674109,11.0
2022.9.5 13:00,1.422386,12.0
2022.9.5 14:00,0.093156,14.5
2022.9.5 15:00,0.666422,10.0
2022.9.5 16:00,2.036988,9.5
2022.9.5 17:00,4.023472,8.5
2022.9.5 18:00,3.849395,11.0
2022.9.5 19:00,2.324019,8.0
2022.9.5 20:00,3.287312,8.0
2022.9.5 21:00,2.144083,13.5
2022.9.5 22:00,5.202210,11.0
2022.9.5 23:00,3.599781,9.5
2022.9.6 0:00,4.062829,7.5
2022.9.6 1:00,2.094253,5.0
2022.9.6 2:00,0.953841,13.0
2023.4.5 8:00,1.911725,1.5
2023.4.5 9:00,3.485302,2.0
2023.4.5 10:00,3.970363,2.0
2023.4.5 11:00,2.664813,1.5
2023.4.5 12:00,2.391384,5.0
2023.4.5 13:00,0.536998,8.5
2023.4.5 14:00,2.354848,4.5
2023.4.5 15:00,3.360024,0.5
2023.4.5 16:00,4.476944,0.0
2023.4.5 17:00,3.578530,0.0
2023.4.5 18:00,3.548680,0.0
2023.7.11 4:00,3.528668,0.0
2023.7.11 5:00,3.528668,0.0
2023.7.11 6:00,3.527051,0.0
2023.7.11 7:00,3.194021,0.0
