datetime,predicted precipitation,ground_truth,predict
2021-07-03 13:00,0.744942,0.0,"tensor(0, device='cuda:1')"
2021-07-03 14:00,0.727114,0.0,"tensor(0, device='cuda:1')"
2021-07-03 15:00,0.295547,0.0,"tensor(0, device='cuda:1')"
2021-07-03 16:00,0.303912,1.0,"tensor(0, device='cuda:1')"
2021-07-03 17:00,8.635860,10.0,"tensor(2, device='cuda:1')"
2021-07-03 18:00,13.943491,16.5,"tensor(2, device='cuda:1')"
2021-07-03 19:00,13.827336,11.0,"tensor(2, device='cuda:1')"
2021-07-03 20:00,10.170710,8.5,"tensor(2, device='cuda:1')"
2021-07-03 21:00,8.417517,11.5,"tensor(2, device='cuda:1')"
2021-07-03 22:00,3.935242,2.5,"tensor(1, device='cuda:1')"
2021-07-03 23:00,9.460125,8.5,"tensor(2, device='cuda:1')"
2022-06-23 17:00,2.710271,2.0,"tensor(1, device='cuda:1')"
2022-06-23 18:00,3.065621,4.0,"tensor(1, device='cuda:1')"
2022-06-23 19:00,8.644536,21.0,"tensor(2, device='cuda:1')"
2022-06-23 20:00,10.821092,16.0,"tensor(2, device='cuda:1')"
2022-06-23 21:00,0.381447,0.5,"tensor(0, device='cuda:1')"
2022-06-23 22:00,8.420218,15.0,"tensor(2, device='cuda:1')"
2022-06-23 23:00,2.863093,1.5,"tensor(1, device='cuda:1')"
2022-06-24 00:00,0.575850,0.0,"tensor(0, device='cuda:1')"
2022-06-24 01:00,6.279366,10.0,"tensor(2, device='cuda:1')"
2022-06-24 02:00,18.135180,9.5,"tensor(2, device='cuda:1')"
2022-06-24 03:00,0.773753,0.5,"tensor(0, device='cuda:1')"
2022-06-30 01:00,3.969277,3.0,"tensor(1, device='cuda:1')"
2022-06-30 02:00,3.991389,4.0,"tensor(1, device='cuda:1')"
2022-06-30 03:00,6.205810,9.5,"tensor(2, device='cuda:1')"
2022-06-30 04:00,5.958555,10.0,"tensor(2, device='cuda:1')"
2022-06-30 05:00,10.212816,25.5,"tensor(2, device='cuda:1')"
2022-06-30 06:00,16.417181,24.0,"tensor(2, device='cuda:1')"
2022-06-30 07:00,3.130287,5.5,"tensor(1, device='cuda:1')"
2022-06-30 08:00,10.990044,11.5,"tensor(2, device='cuda:1')"
2022-06-30 09:00,4.642500,13.0,"tensor(2, device='cuda:1')"
2022-06-30 10:00,4.812510,14.5,"tensor(2, device='cuda:1')"
2022-06-30 11:00,3.497387,6.5,"tensor(1, device='cuda:1')"
2022-06-30 13:00,0.276546,0.0,"tensor(0, device='cuda:1')"
2022-06-30 14:00,0.853200,0.5,"tensor(0, device='cuda:1')"
2022-06-30 15:00,0.605419,1.0,"tensor(0, device='cuda:1')"
2022-06-30 16:00,2.783435,2.5,"tensor(1, device='cuda:1')"
2022-06-30 17:00,4.327850,6.5,"tensor(1, device='cuda:1')"
2022-06-30 18:00,13.959115,40.0,"tensor(2, device='cuda:1')"
2022-06-30 19:00,6.343349,22.0,"tensor(2, device='cuda:1')"
2022-06-30 20:00,0.813760,1.0,"tensor(0, device='cuda:1')"
2022-06-30 21:00,0.174816,0.5,"tensor(0, device='cuda:1')"
2022-06-30 22:00,0.362828,0.0,"tensor(0, device='cuda:1')"
2022-06-30 23:00,0.584960,0.0,"tensor(0, device='cuda:1')"
2022-07-13 07:00,0.306174,0.5,"tensor(0, device='cuda:1')"
2022-07-13 08:00,0.332573,0.0,"tensor(0, device='cuda:1')"
2022-07-13 09:00,0.349057,1.0,"tensor(0, device='cuda:1')"
2022-07-13 10:00,2.662740,2.0,"tensor(1, device='cuda:1')"
2022-07-13 11:00,12.660480,23.0,"tensor(2, device='cuda:1')"
2022-07-13 12:00,8.649951,8.5,"tensor(2, device='cuda:1')"
2022-07-13 13:00,3.875129,3.5,"tensor(1, device='cuda:1')"
2022-07-13 14:00,12.397224,8.0,"tensor(2, device='cuda:1')"
2022-07-13 15:00,9.363470,19.0,"tensor(2, device='cuda:1')"
2022-07-13 16:00,9.432686,33.5,"tensor(2, device='cuda:1')"
2022-07-13 17:00,9.557988,16.5,"tensor(2, device='cuda:1')"
2022-08-08 19:00,4.258539,2.0,"tensor(1, device='cuda:1')"
2022-08-08 20:00,18.845266,10.0,"tensor(2, device='cuda:1')"
2022-08-08 21:00,18.722805,63.0,"tensor(2, device='cuda:1')"
2022-08-08 22:00,17.205719,55.5,"tensor(2, device='cuda:1')"
2022-08-08 23:00,19.218756,84.5,"tensor(2, device='cuda:1')"
2022-08-09 00:00,18.786081,18.5,"tensor(2, device='cuda:1')"
2022-08-09 01:00,0.317859,0.5,"tensor(0, device='cuda:1')"
2022-08-09 02:00,4.684505,6.5,"tensor(1, device='cuda:1')"
2022-08-09 03:00,18.351271,22.5,"tensor(2, device='cuda:1')"
2022-08-09 04:00,18.120394,8.5,"tensor(2, device='cuda:1')"
2022-08-09 05:00,3.048867,3.5,"tensor(1, device='cuda:1')"
2022-09-05 08:00,0.662830,1.0,"tensor(0, device='cuda:1')"
2022-09-05 09:00,3.480173,2.5,"tensor(1, device='cuda:1')"
2022-09-05 10:00,4.055076,4.0,"tensor(1, device='cuda:1')"
2022-09-05 11:00,12.484657,9.0,"tensor(2, device='cuda:1')"
2022-09-05 12:00,10.218524,11.0,"tensor(2, device='cuda:1')"
2022-09-05 13:00,12.538896,12.0,"tensor(2, device='cuda:1')"
2022-09-05 14:00,8.726070,14.5,"tensor(2, device='cuda:1')"
2022-09-05 15:00,8.797122,10.0,"tensor(2, device='cuda:1')"
2022-09-05 16:00,5.404273,9.5,"tensor(2, device='cuda:1')"
2022-09-05 17:00,9.430403,8.5,"tensor(2, device='cuda:1')"
2022-09-05 18:00,8.727455,11.0,"tensor(2, device='cuda:1')"
2022-09-05 19:00,9.292124,8.0,"tensor(2, device='cuda:1')"
2022-09-05 20:00,12.526495,8.0,"tensor(2, device='cuda:1')"
2022-09-05 21:00,9.062969,13.5,"tensor(2, device='cuda:1')"
2022-09-05 22:00,9.529042,11.0,"tensor(2, device='cuda:1')"
2022-09-05 23:00,8.759062,9.5,"tensor(2, device='cuda:1')"
2022-09-06 00:00,2.552185,7.5,"tensor(1, device='cuda:1')"
2022-09-06 01:00,3.070363,5.0,"tensor(1, device='cuda:1')"
2022-09-06 02:00,15.538797,13.0,"tensor(2, device='cuda:1')"
2023-04-05 08:00,2.972666,1.5,"tensor(1, device='cuda:1')"
2023-04-05 09:00,3.251304,2.0,"tensor(1, device='cuda:1')"
2023-04-05 10:00,3.760133,2.0,"tensor(1, device='cuda:1')"
2023-04-05 11:00,3.762582,1.5,"tensor(1, device='cuda:1')"
2023-04-05 12:00,3.842475,5.0,"tensor(1, device='cuda:1')"
2023-04-05 13:00,6.902200,8.5,"tensor(2, device='cuda:1')"
2023-04-05 14:00,3.944348,4.5,"tensor(1, device='cuda:1')"
2023-04-05 15:00,0.625641,0.5,"tensor(0, device='cuda:1')"
2023-04-05 16:00,0.629950,0.0,"tensor(0, device='cuda:1')"
2023-04-05 17:00,0.750945,0.0,"tensor(0, device='cuda:1')"
2023-04-05 18:00,0.711524,0.0,"tensor(0, device='cuda:1')"
2023-07-11 04:00,0.738380,0.0,"tensor(0, device='cuda:1')"
2023-07-11 05:00,0.738380,0.0,"tensor(0, device='cuda:1')"
2023-07-11 06:00,0.733156,0.0,"tensor(0, device='cuda:1')"
2023-07-11 07:00,0.791614,0.0,"tensor(0, device='cuda:1')"
2023-07-11 08:00,0.723290,0.5,"tensor(0, device='cuda:1')"
2023-07-11 09:00,16.350752,14.0,"tensor(2, device='cuda:1')"
2023-07-11 10:00,4.060565,2.0,"tensor(1, device='cuda:1')"
2023-07-11 11:00,0.559211,0.0,"tensor(0, device='cuda:1')"
2023-07-11 12:00,0.289312,0.0,"tensor(0, device='cuda:1')"
2023-07-11 13:00,0.760944,0.5,"tensor(0, device='cuda:1')"
2023-07-11 14:00,0.398722,1.0,"tensor(0, device='cuda:1')"
2023-07-11 15:00,9.300528,20.0,"tensor(2, device='cuda:1')"
2023-07-11 16:00,10.400476,48.5,"tensor(2, device='cuda:1')"
2023-07-11 17:00,4.701824,7.5,"tensor(1, device='cuda:1')"
2023-07-11 18:00,3.797826,2.0,"tensor(1, device='cuda:1')"
2023-07-11 19:00,0.245350,1.0,"tensor(0, device='cuda:1')"
2023-07-11 20:00,0.813174,0.0,"tensor(0, device='cuda:1')"
2023-08-10 13:00,4.236804,7.0,"tensor(1, device='cuda:1')"
2023-08-10 14:00,10.304260,9.0,"tensor(2, device='cuda:1')"
2023-08-10 15:00,8.539407,11.0,"tensor(2, device='cuda:1')"
2023-08-10 16:00,3.106404,5.0,"tensor(1, device='cuda:1')"
2023-08-10 17:00,7.180383,11.0,"tensor(2, device='cuda:1')"
2023-08-10 18:00,7.678950,12.5,"tensor(2, device='cuda:1')"
2023-08-10 19:00,11.013186,8.5,"tensor(2, device='cuda:1')"
2023-08-10 20:00,4.554533,2.5,"tensor(1, device='cuda:1')"
2023-08-10 21:00,4.283705,2.0,"tensor(1, device='cuda:1')"
2023-08-10 22:00,4.472422,2.0,"tensor(1, device='cuda:1')"
2023-08-10 23:00,4.455564,2.0,"tensor(1, device='cuda:1')"
2023-08-23 07:00,0.782387,0.5,"tensor(0, device='cuda:1')"
2023-08-23 08:00,0.625311,0.0,"tensor(0, device='cuda:1')"
2023-08-23 09:00,0.625971,0.0,"tensor(0, device='cuda:1')"
2023-08-23 10:00,0.530111,0.0,"tensor(0, device='cuda:1')"
2023-08-23 11:00,4.231071,3.0,"tensor(1, device='cuda:1')"
2023-08-23 12:00,11.695885,11.0,"tensor(2, device='cuda:1')"
2023-08-23 13:00,2.828033,2.0,"tensor(1, device='cuda:1')"
2023-08-23 14:00,2.995120,6.5,"tensor(1, device='cuda:1')"
2023-08-23 15:00,9.229196,9.5,"tensor(2, device='cuda:1')"
2023-08-23 16:00,3.860709,4.0,"tensor(1, device='cuda:1')"
2023-08-23 17:00,3.915326,2.0,"tensor(1, device='cuda:1')"
2023-08-29 07:00,0.632475,1.0,"tensor(0, device='cuda:1')"
2023-08-29 08:00,0.453308,0.5,"tensor(0, device='cuda:1')"
2023-08-29 09:00,0.355842,0.5,"tensor(0, device='cuda:1')"
2023-08-29 10:00,0.608361,0.0,"tensor(0, device='cuda:1')"
2023-08-29 11:00,0.335820,0.0,"tensor(0, device='cuda:1')"
2023-08-29 12:00,8.921476,12.0,"tensor(2, device='cuda:1')"
2023-08-29 13:00,13.260061,18.5,"tensor(2, device='cuda:1')"
2023-08-29 14:00,3.384557,3.5,"tensor(1, device='cuda:1')"
2023-08-29 15:00,0.698499,0.0,"tensor(0, device='cuda:1')"
2023-08-29 16:00,0.674372,0.0,"tensor(0, device='cuda:1')"
2023-08-29 17:00,0.600046,0.0,"tensor(0, device='cuda:1')"
