datetime,predicted precipitation,ground_truth,predict,precipitation_pixel
2021-07-03 13:00,5.764526,0.0,"tensor(1, device='cuda:1')","tensor([ 0.5574,  0.8554,  0.7022, -0.2612,  0.3549,  1.6748,  2.3589,  1.6119,
         1.6961,  0.6243,  1.1429,  0.3252,  1.2618,  0.6182,  0.9499,  0.0117,
         1.1457,  1.6988,  1.6140,  0.7735,  0.9875,  0.5727,  1.0670,  1.2598,
         1.0994,  0.4421,  1.0693,  1.6291,  1.3085,  1.0359,  0.8814,  0.5094,
         1.0321,  0.5706,  0.8099,  0.2800,  0.8028,  0.1351, -0.0644,  1.8739,
         0.9424,  2.0461,  0.2524, -0.1319,  0.9810,  0.7575,  0.5230,  1.1230,
         0.5003,  1.7243,  0.0590,  1.3156,  0.9815,  0.1605,  1.0708,  0.7385,
         2.7498,  0.4031,  1.2471,  1.0047,  0.7465,  1.1925,  0.8328,  1.6134,
         0.6636,  1.2409,  1.1300,  1.4430,  1.1827,  0.7880,  1.1317,  1.1051,
         1.6343,  1.0118,  0.2445,  1.0279, -0.0443,  0.2076,  1.5774,  1.8911,
         1.5142,  0.1434,  1.2690,  2.2147,  1.9535,  1.4929,  1.1982,  0.1583,
         0.7796,  1.5432,  0.8585,  0.3500,  1.1888,  0.3542,  0.7878,  0.5613,
         1.5545,  1.8332,  1.2592,  0.6963], device='cuda:1')"
2021-07-03 14:00,0.851053,0.0,"tensor(1, device='cuda:1')","tensor([ 0.6549,  0.9846,  0.8387, -0.0755,  0.3798,  1.5595,  2.2962,  1.4793,
         1.6739,  0.5900,  1.2120,  0.4310,  0.9998,  0.6598,  0.9990,  0.1111,
         1.2412,  1.6082,  1.3932,  0.5913,  1.0989,  0.6182,  1.1215,  1.1511,
         1.0976,  0.4588,  0.9235,  1.5576,  1.1806,  0.8586,  0.9986,  0.6248,
         1.0434,  0.5663,  0.7112,  0.1269,  0.9273,  0.4524, -0.0192,  1.9243,
         1.0936,  1.8632,  0.6180, -0.0844,  1.0156,  0.7814,  0.3013,  1.0055,
         0.5364,  1.7485,  0.2002,  1.3178,  0.8042,  0.1954,  0.9874,  0.7674,
         2.4449,  0.4168,  1.1886,  0.7933,  0.7795,  1.1637,  0.9457,  1.3484,
         0.8329,  1.2378,  1.1292,  1.3205,  1.0447,  0.8170,  1.2727,  1.1849,
         1.5491,  1.2810,  0.3395,  1.0239,  0.0138,  0.1272,  1.5402,  1.9662,
         1.4566,  0.0927,  1.2781,  2.1004,  1.9279,  1.6314,  1.1793,  0.1440,
         0.7708,  1.3565,  0.8189,  0.3230,  1.2029,  0.4132,  0.7287,  0.7597,
         1.4410,  1.8480,  1.1943,  0.7762], device='cuda:1')"
2021-07-03 15:00,131.293793,0.0,"tensor(1, device='cuda:1')","tensor([ 0.5179,  0.5435,  1.4101,  0.0796,  0.7333,  0.3754,  0.7071,  0.0974,
         1.0577,  0.0668,  0.5994,  0.8681,  0.6125,  0.3457,  0.3659,  0.4997,
         1.1641,  0.3941, -0.3078,  1.1066, -0.6115,  0.2188,  0.3710,  1.2220,
         0.2838,  0.2593,  1.1803, -0.2539,  0.5461,  0.9171, -0.4730,  1.3902,
         1.2258,  0.1201,  0.9889,  0.2034,  0.3045, -0.6761,  1.3119,  1.5461,
        -0.5339,  0.9607, -0.3169,  0.5275,  0.1725,  0.3821, -0.2450,  1.4481,
         0.8900, -0.0671,  0.0980, -0.0941,  0.4625,  1.0808, -0.0664,  0.3545,
         2.0808,  0.7798,  0.1921,  1.1444,  0.0502, -0.2459, -0.1761,  1.6434,
         0.0229, -0.6623,  0.1972,  1.4723, -0.5282,  0.2243, -0.5699,  2.1416,
         0.7444,  1.4561, -0.0342,  1.1900,  0.3068,  0.7114,  0.9627,  0.4073,
         0.5240,  0.1388, -0.1860,  0.1421,  0.7221,  0.0733,  0.7042,  0.0593,
         0.3644,  0.6152,  0.6963,  0.9610,  0.5357,  0.4407, -0.5922,  0.1935,
        -0.1402,  0.1899,  1.6109,  1.0406], device='cuda:1')"
2021-07-03 16:00,3.359299,1.0,"tensor(1, device='cuda:1')","tensor([ 0.6307,  0.3425,  1.2175, -0.0712,  0.6052,  0.1613,  0.4780,  0.1163,
         0.5195, -0.1327,  0.4924,  0.5441,  0.4014,  0.4544, -0.1782,  0.2743,
         1.0108,  0.3958,  0.0766,  0.8932, -0.4759,  0.2125,  0.1047,  0.7237,
         0.2256,  0.2584,  0.7162, -0.2699,  0.3776,  0.1176, -0.0759,  0.8492,
         0.5998, -0.0052,  0.5318, -0.2669,  0.1426, -0.3810,  0.9248,  1.1164,
        -0.4881,  0.4827,  0.0890,  0.5029,  0.0728,  0.3998, -0.3476,  1.0849,
         0.6844, -0.2548,  0.1075,  0.1891,  0.1720,  0.6357, -0.0916,  0.4115,
         1.4411,  0.4485,  0.0696,  0.7714, -0.1217, -0.4335, -0.2043,  1.2805,
         0.1278, -0.3761, -0.3181,  0.9619, -0.4820,  0.1055, -0.0199,  1.3917,
         0.8260,  0.8860,  0.0036,  0.7624,  0.2361,  0.3782,  0.7107,  0.5860,
         0.2978, -0.0541,  0.1310, -0.1463,  0.4172, -0.3361,  0.2367, -0.3385,
        -0.0712,  0.3839,  0.5125,  0.7258,  0.2786,  0.5454, -0.4199, -0.0245,
        -0.3368,  0.1138,  1.1652,  0.7011], device='cuda:1')"
2021-07-03 17:00,20.462292,10.0,"tensor(1, device='cuda:1')","tensor([ 0.4615,  0.3657,  1.1370,  0.0805,  0.6413, -0.0076,  0.3309,  0.1409,
         0.7411, -0.1618,  0.5494,  0.4544,  0.2430,  0.4247, -0.1401,  0.3730,
         0.8086,  0.4802, -0.2011,  0.6495, -0.5089,  0.0621, -0.0204,  0.7474,
         0.1857,  0.3564,  0.6919, -0.1965,  0.4107,  0.0654, -0.0749,  0.7147,
         0.6176, -0.0113,  0.4611, -0.3020,  0.1403, -0.2318,  0.8920,  0.8391,
        -0.4025,  0.3575,  0.0867,  0.5955, -0.0600,  0.4109, -0.4914,  0.9862,
         0.3727, -0.2732,  0.1580,  0.1553,  0.2058,  0.3541, -0.4165,  0.2697,
         1.3124,  0.4094,  0.0149,  0.5834, -0.1147, -0.4514, -0.0376,  1.0781,
         0.1047, -0.4772, -0.4596,  0.8745, -0.2200,  0.1214, -0.1194,  1.4554,
         0.8547,  0.7477, -0.0555,  0.5508,  0.3587,  0.2213,  0.6755,  0.5166,
         0.1254, -0.2015,  0.0726, -0.2521,  0.3953, -0.3058,  0.1468, -0.4099,
        -0.0564,  0.2286,  0.4087,  0.6203,  0.0537,  0.5409, -0.3997, -0.0863,
        -0.3056, -0.2655,  1.0028,  0.4109], device='cuda:1')"
2021-07-03 18:00,26.167324,16.5,"tensor(1, device='cuda:1')","tensor([ 9.2190e-01,  4.1711e-01,  1.5145e+00,  1.0039e-01,  7.2304e-01,
         1.1386e+00,  1.0769e+00,  3.3422e-01,  6.7773e-01, -8.5433e-02,
         9.5528e-01,  9.5002e-01,  4.2927e-01,  1.1659e+00,  1.5148e-01,
         2.2627e-01,  1.5280e+00,  4.6372e-01,  6.7772e-01,  1.3556e+00,
         1.7639e-01,  1.5793e-01,  7.3031e-02,  1.0724e+00,  4.8886e-01,
         2.3240e-01,  7.8573e-01,  1.0296e-01,  1.2604e-01,  8.1243e-01,
         2.9130e-02,  1.0469e+00,  8.2166e-01,  2.4816e-01,  1.0914e+00,
        -1.7899e-01,  4.0359e-01, -3.2458e-01,  9.4729e-01,  2.2429e+00,
        -3.6692e-01,  6.8698e-01, -1.5704e-03,  4.2292e-01,  5.7199e-01,
         8.4738e-03,  3.5738e-02,  1.2467e+00,  1.5416e+00, -3.1610e-02,
        -1.9591e-02, -3.5203e-02,  2.5372e-02,  1.4054e+00, -2.4961e-01,
         6.2385e-01,  1.7028e+00,  1.0748e+00,  4.2683e-01,  1.1273e+00,
         1.5732e-01,  4.5475e-01, -5.2625e-01,  1.4235e+00,  9.6013e-01,
        -3.7077e-01,  2.0387e-01,  1.2529e+00, -8.6029e-01,  3.4990e-01,
         4.1624e-01,  1.9354e+00,  8.3047e-01,  1.6037e+00,  3.3586e-01,
         7.9289e-01,  3.8372e-02,  6.9035e-01,  1.3716e+00,  9.4458e-01,
         1.0940e+00, -1.6332e-01,  2.0302e-02,  8.1605e-01,  5.1362e-01,
         1.8962e-01,  1.2101e+00,  3.3939e-01,  6.2037e-01,  7.4314e-01,
         1.4164e+00,  7.7721e-01,  1.2382e+00,  6.5599e-01, -1.1116e-01,
        -5.8463e-02, -3.0347e-01,  9.9787e-01,  1.2644e+00,  1.2341e+00],
       device='cuda:1')"
2021-07-03 19:00,11.988261,11.0,"tensor(0, device='cuda:1')","tensor([ 0.7363,  0.8296,  1.0531,  0.1280,  0.4967,  0.8864,  1.7756,  0.8400,
         1.1820,  0.2593,  0.7427,  0.3721,  0.6306,  1.0061,  0.6943,  0.4355,
         0.8843,  0.8597,  0.5763,  0.3619,  0.6542,  0.9784,  1.0142,  0.8234,
         0.8797,  0.5439,  0.8143,  1.5241,  0.7797,  1.0262,  0.8153,  0.6429,
         1.1581,  0.2855,  0.6155,  0.3777,  0.5454,  0.7600,  0.2423,  1.0557,
         0.7034,  1.1733, -0.0192,  0.0532,  0.6309,  0.3199,  0.2885,  0.5434,
         0.7559,  0.4947,  0.3804,  0.9461,  0.1796,  0.4530,  0.2337,  0.4726,
         1.3516,  0.5384,  1.3117,  0.6950,  0.7166,  0.8520,  1.0855,  0.5870,
         0.8417,  0.5487,  0.6990,  1.0150,  0.5762,  0.5437,  0.8465,  0.3768,
         0.7304,  0.8944,  0.6985,  0.5305, -0.0592,  0.4700,  1.3226,  1.3162,
         1.0300,  0.3663,  0.6217,  1.1338,  1.0035,  0.2703,  1.4093,  0.4509,
         0.5804,  0.5179,  0.9682,  0.2731,  1.1453,  0.1604,  0.2166,  0.2614,
         0.1910,  1.2318,  0.9067,  0.3896], device='cuda:1')"
2021-07-03 20:00,46.435211,8.5,"tensor(1, device='cuda:1')","tensor([ 0.3768,  0.5587,  1.1670,  0.1932,  0.5836,  0.0044,  0.5333,  0.2940,
         0.9230, -0.2569,  0.4806,  0.4639,  0.2776,  0.5503,  0.1669,  0.2020,
         0.9001,  0.4165, -0.0727,  0.7471, -0.3808,  0.2662,  0.2002,  0.8454,
         0.2968,  0.3380,  0.8163,  0.1158,  0.5445,  0.5766,  0.0253,  0.8078,
         0.7001,  0.0525,  0.4036, -0.1547, -0.0277, -0.2420,  0.7472,  0.7158,
        -0.3231,  0.5682, -0.0779,  0.4239,  0.1107,  0.1260, -0.2619,  0.7208,
         0.5394, -0.1874,  0.3245,  0.2961,  0.2458,  0.3409, -0.0540,  0.2972,
         1.4023,  0.3277,  0.2660,  0.9435, -0.0405, -0.1908,  0.1592,  0.8719,
         0.3244, -0.3185, -0.3964,  0.9727, -0.0975,  0.0715, -0.0612,  1.3748,
         0.7715,  0.8155,  0.0091,  0.7040,  0.1411,  0.5382,  0.8142,  0.5565,
         0.3155,  0.1624, -0.0540, -0.0853,  0.5563, -0.2536,  0.4160, -0.0400,
         0.4403,  0.3618,  0.5426,  0.6337,  0.0843,  0.6545, -0.3843, -0.0742,
        -0.1480, -0.1276,  1.1547,  0.4205], device='cuda:1')"
2021-07-03 21:00,52.843697,11.5,"tensor(1, device='cuda:1')","tensor([ 4.4891e-01,  3.8493e-01,  1.0734e+00,  5.0321e-02,  7.0664e-01,
         8.9614e-02,  2.5905e-01,  1.5604e-01,  8.6069e-01, -2.5343e-01,
         5.2869e-01,  5.2979e-01,  5.2981e-02,  5.2178e-01, -1.7177e-01,
         6.9159e-02,  9.3525e-01,  3.1682e-01, -3.3594e-02,  5.7821e-01,
        -3.0079e-01,  4.6072e-02, -2.7725e-01,  8.7859e-01,  4.9802e-02,
         2.6412e-01,  5.9453e-01, -3.6256e-01,  2.1478e-01,  1.2094e-01,
        -1.3527e-01,  7.2180e-01,  4.5983e-01,  2.3964e-01,  5.3961e-01,
        -2.1324e-01,  2.6683e-01, -3.9584e-01,  5.7275e-01,  7.3847e-01,
        -3.9262e-01,  1.3996e-01,  1.3985e-03,  5.5140e-01,  1.0089e-01,
         3.8765e-01, -3.9344e-01,  1.0330e+00,  1.7289e-01, -2.7900e-01,
        -5.7730e-02,  4.1152e-02,  2.7086e-01,  4.1938e-01, -4.6195e-01,
         1.5024e-01,  1.1262e+00,  5.3840e-01, -8.3150e-02,  6.7144e-01,
        -2.2793e-01, -2.7489e-01, -2.9981e-01,  9.5873e-01,  4.1337e-01,
        -4.6095e-01, -4.4191e-01,  1.0714e+00, -3.4889e-01,  5.3605e-02,
        -5.4950e-02,  1.4153e+00,  6.7765e-01,  7.2017e-01,  7.3703e-03,
         6.4979e-01,  3.4056e-01, -7.9962e-02,  6.2653e-01,  3.2511e-01,
         2.5742e-01, -2.3846e-01, -6.9953e-02, -1.1961e-01,  3.7857e-01,
        -7.7442e-02,  1.7394e-01, -3.2792e-01,  5.5216e-02,  2.4369e-01,
         6.1458e-01,  5.4363e-01,  1.6619e-01,  3.4323e-01, -2.9913e-01,
         6.7670e-02, -1.2284e-01, -2.5296e-01,  9.9996e-01,  4.1081e-01],
       device='cuda:1')"
2021-07-03 22:00,59.290363,2.5,"tensor(1, device='cuda:1')","tensor([ 0.6148,  0.5255,  1.1295, -0.1845,  0.2274,  1.0465,  1.2988,  0.5114,
         0.9555,  0.1786,  0.7070,  0.6168,  0.7001,  0.7088,  0.6362,  0.1753,
         1.4002,  0.8058,  0.7020,  1.3830, -0.0470,  0.1826,  0.8482,  1.3491,
         0.3068,  0.2173,  1.1742,  0.3572,  0.6832,  1.0513,  0.0803,  1.4177,
         1.2064,  0.1482,  0.8288,  0.4010,  0.4742, -0.3280,  0.8554,  1.3822,
        -0.1309,  1.2755, -0.5797,  0.1517,  0.5951,  0.3405,  0.5547,  0.9341,
         1.2156,  0.1522, -0.3133,  0.2141,  0.5068,  0.8751,  0.4814,  0.6901,
         2.0681,  0.5524,  0.9253,  1.2006,  0.3669,  0.1741,  0.3255,  1.3631,
         0.3651, -0.4543,  0.5925,  1.4402,  0.1032,  0.2603,  0.0185,  1.2659,
         0.8798,  1.1118,  0.0056,  1.1436,  0.2450,  0.7521,  1.1703,  0.2888,
         1.1502,  0.5668,  0.1740,  0.9641,  0.4301,  0.2949,  1.1835,  0.0775,
         0.6760,  1.0189,  1.1787,  0.9503,  0.7893,  0.3592,  0.0233,  0.3391,
         0.3718,  1.0269,  1.0041,  1.0508], device='cuda:1')"
