datetime,predicted precipitation,ground_truth
2021-07-03 13:00,0.695883,0.0
2021-07-03 14:00,0.326144,0.0
2021-07-03 15:00,150.765289,0.0
2021-07-03 16:00,15.684973,1.0
2021-07-03 17:00,20.498581,10.0
2021-07-03 18:00,80.669617,16.5
2021-07-03 19:00,32.002712,11.0
2021-07-03 20:00,16.229218,8.5
2021-07-03 21:00,29.460587,11.5
2021-07-03 22:00,57.871536,2.5
2021-07-03 23:00,52.571972,8.5
2022-06-23 17:00,44.595871,2.0
2022-06-23 18:00,19.081627,4.0
2022-06-23 19:00,2.924145,21.0
2022-06-23 20:00,9.954523,16.0
2022-06-23 21:00,210.251205,0.5
2022-06-23 22:00,20.472067,15.0
2022-06-23 23:00,11.004523,1.5
2022-06-24 00:00,26.874262,0.0
2022-06-24 01:00,133.864410,10.0
2022-06-24 02:00,148.138687,9.5
2022-06-24 03:00,0.007604,0.5
2022-06-30 01:00,12.627188,3.0
2022-06-30 02:00,4.782273,4.0
2022-06-30 03:00,27.836639,9.5
2022-06-30 04:00,37.128929,10.0
2022-06-30 05:00,5.005233,25.5
2022-06-30 06:00,6.857955,24.0
2022-06-30 07:00,20.393011,5.5
2022-06-30 08:00,64.445732,11.5
2022-06-30 09:00,108.846794,13.0
2022-06-30 10:00,17.562830,14.5
2022-06-30 11:00,71.288071,6.5
2022-06-30 13:00,5.355544,0.0
2022-06-30 14:00,5.414987,0.5
2022-06-30 15:00,65.949440,1.0
2022-06-30 16:00,11.217979,2.5
2022-06-30 17:00,63.503143,6.5
2022-06-30 18:00,15.893273,40.0
2022-06-30 19:00,18.129702,22.0
2022-06-30 20:00,7.737327,1.0
2022-06-30 21:00,6.930787,0.5
2022-06-30 22:00,0.580405,0.0
2022-06-30 23:00,32.549999,0.0
2022-07-13 07:00,240.799774,0.5
2022-07-13 08:00,98.845505,0.0
2022-07-13 09:00,9.812511,1.0
2022-07-13 10:00,9.616409,2.0
2022-07-13 11:00,99.875275,23.0
2022-07-13 12:00,85.917267,8.5
2022-07-13 13:00,96.209122,3.5
2022-07-13 14:00,8.403906,8.0
2022-07-13 15:00,12.854424,19.0
2022-07-13 16:00,59.187359,33.5
2022-07-13 17:00,60.889179,16.5
2022-08-08 19:00,34.854362,2.0
2022-08-08 20:00,180.621964,10.0
