datetime,predicted precipitation,ground_truth,predict
2021-07-03 13:00,0.001824,0.0,"tensor(0, device='cuda:1')"
2021-07-03 14:00,0.001824,0.0,"tensor(0, device='cuda:1')"
2021-07-03 15:00,0.000378,0.0,"tensor(0, device='cuda:1')"
2021-07-03 16:00,0.000061,1.0,"tensor(0, device='cuda:1')"
2021-07-03 17:00,0.006964,10.0,"tensor(2, device='cuda:1')"
2021-07-03 18:00,0.010734,16.5,"tensor(2, device='cuda:1')"
2021-07-03 19:00,0.009395,11.0,"tensor(2, device='cuda:1')"
2021-07-03 20:00,0.009751,8.5,"tensor(2, device='cuda:1')"
2021-07-03 21:00,0.006323,11.5,"tensor(2, device='cuda:1')"
2021-07-03 22:00,0.010026,2.5,"tensor(1, device='cuda:1')"
2021-07-03 23:00,0.010777,8.5,"tensor(2, device='cuda:1')"
2022-06-23 17:00,0.001002,2.0,"tensor(1, device='cuda:1')"
2022-06-23 18:00,0.000823,4.0,"tensor(1, device='cuda:1')"
2022-06-23 19:00,0.011675,21.0,"tensor(2, device='cuda:1')"
2022-06-23 20:00,0.015977,16.0,"tensor(2, device='cuda:1')"
2022-06-23 21:00,0.002070,0.5,"tensor(0, device='cuda:1')"
2022-06-23 22:00,0.010506,15.0,"tensor(2, device='cuda:1')"
2022-06-23 23:00,0.002369,1.5,"tensor(1, device='cuda:1')"
2022-06-24 00:00,0.001953,0.0,"tensor(0, device='cuda:1')"
2022-06-24 01:00,0.013927,10.0,"tensor(2, device='cuda:1')"
2022-06-24 02:00,0.052744,9.5,"tensor(2, device='cuda:1')"
2022-06-24 03:00,0.001824,0.5,"tensor(0, device='cuda:1')"
2022-06-30 01:00,0.001140,3.0,"tensor(1, device='cuda:1')"
2022-06-30 02:00,0.002834,4.0,"tensor(1, device='cuda:1')"
2022-06-30 03:00,0.012526,9.5,"tensor(2, device='cuda:1')"
2022-06-30 04:00,0.009935,10.0,"tensor(2, device='cuda:1')"
2022-06-30 05:00,0.007163,25.5,"tensor(2, device='cuda:1')"
2022-06-30 06:00,0.032413,24.0,"tensor(2, device='cuda:1')"
2022-06-30 07:00,0.002854,5.5,"tensor(1, device='cuda:1')"
2022-06-30 08:00,0.019212,11.5,"tensor(2, device='cuda:1')"
2022-06-30 09:00,0.014246,13.0,"tensor(2, device='cuda:1')"
2022-06-30 10:00,0.008245,14.5,"tensor(2, device='cuda:1')"
2022-06-30 11:00,0.001823,6.5,"tensor(1, device='cuda:1')"
2022-06-30 13:00,0.001606,0.0,"tensor(0, device='cuda:1')"
2022-06-30 14:00,0.000472,0.5,"tensor(0, device='cuda:1')"
2022-06-30 15:00,0.000675,1.0,"tensor(0, device='cuda:1')"
2022-06-30 16:00,0.002561,2.5,"tensor(1, device='cuda:1')"
2022-06-30 17:00,0.002197,6.5,"tensor(1, device='cuda:1')"
2022-06-30 18:00,0.053285,40.0,"tensor(2, device='cuda:1')"
2022-06-30 19:00,0.024494,22.0,"tensor(2, device='cuda:1')"
2022-06-30 20:00,0.001527,1.0,"tensor(0, device='cuda:1')"
2022-06-30 21:00,0.001835,0.5,"tensor(0, device='cuda:1')"
2022-06-30 22:00,0.002225,0.0,"tensor(0, device='cuda:1')"
2022-06-30 23:00,0.001827,0.0,"tensor(0, device='cuda:1')"
2022-07-13 07:00,0.001459,0.5,"tensor(0, device='cuda:1')"
2022-07-13 08:00,0.001548,0.0,"tensor(0, device='cuda:1')"
2022-07-13 09:00,0.000098,1.0,"tensor(0, device='cuda:1')"
2022-07-13 10:00,0.001734,2.0,"tensor(1, device='cuda:1')"
2022-07-13 11:00,0.007940,23.0,"tensor(2, device='cuda:1')"
2022-07-13 12:00,0.010633,8.5,"tensor(2, device='cuda:1')"
2022-07-13 13:00,0.008343,3.5,"tensor(1, device='cuda:1')"
2022-07-13 14:00,0.010625,8.0,"tensor(2, device='cuda:1')"
2022-07-13 15:00,0.007719,19.0,"tensor(2, device='cuda:1')"
2022-07-13 16:00,0.012127,33.5,"tensor(2, device='cuda:1')"
2022-07-13 17:00,0.007186,16.5,"tensor(2, device='cuda:1')"
2022-08-08 19:00,0.001979,2.0,"tensor(1, device='cuda:1')"
2022-08-08 20:00,0.051516,10.0,"tensor(2, device='cuda:1')"
2022-08-08 21:00,0.046626,63.0,"tensor(2, device='cuda:1')"
2022-08-08 22:00,0.050060,55.5,"tensor(2, device='cuda:1')"
2022-08-08 23:00,0.049630,84.5,"tensor(2, device='cuda:1')"
2022-08-09 00:00,0.049171,18.5,"tensor(2, device='cuda:1')"
2022-08-09 01:00,0.001375,0.5,"tensor(0, device='cuda:1')"
2022-08-09 02:00,0.009379,6.5,"tensor(1, device='cuda:1')"
2022-08-09 03:00,0.049409,22.5,"tensor(2, device='cuda:1')"
2022-08-09 04:00,0.049391,8.5,"tensor(2, device='cuda:1')"
2022-08-09 05:00,0.004328,3.5,"tensor(1, device='cuda:1')"
2022-09-05 08:00,0.001912,1.0,"tensor(0, device='cuda:1')"
2022-09-05 09:00,0.000452,2.5,"tensor(1, device='cuda:1')"
2022-09-05 10:00,0.002300,4.0,"tensor(1, device='cuda:1')"
2022-09-05 11:00,0.012307,9.0,"tensor(2, device='cuda:1')"
2022-09-05 12:00,0.011451,11.0,"tensor(2, device='cuda:1')"
2022-09-05 13:00,0.010171,12.0,"tensor(2, device='cuda:1')"
2022-09-05 14:00,0.002871,14.5,"tensor(2, device='cuda:1')"
2022-09-05 15:00,0.010444,10.0,"tensor(2, device='cuda:1')"
2022-09-05 16:00,0.010451,9.5,"tensor(2, device='cuda:1')"
2022-09-05 17:00,0.005450,8.5,"tensor(2, device='cuda:1')"
2022-09-05 18:00,0.005301,11.0,"tensor(2, device='cuda:1')"
2022-09-05 19:00,0.004499,8.0,"tensor(2, device='cuda:1')"
2022-09-05 20:00,0.008265,8.0,"tensor(2, device='cuda:1')"
2022-09-05 21:00,0.004113,13.5,"tensor(2, device='cuda:1')"
2022-09-05 22:00,0.004697,11.0,"tensor(2, device='cuda:1')"
2022-09-05 23:00,0.002846,9.5,"tensor(2, device='cuda:1')"
2022-09-06 00:00,0.000506,7.5,"tensor(1, device='cuda:1')"
2022-09-06 01:00,0.001574,5.0,"tensor(1, device='cuda:1')"
2022-09-06 02:00,0.010395,13.0,"tensor(2, device='cuda:1')"
2023-04-05 08:00,0.010680,1.5,"tensor(1, device='cuda:1')"
2023-04-05 09:00,0.003852,2.0,"tensor(1, device='cuda:1')"
2023-04-05 10:00,0.006687,2.0,"tensor(1, device='cuda:1')"
2023-04-05 11:00,0.001184,1.5,"tensor(1, device='cuda:1')"
2023-04-05 12:00,0.004452,5.0,"tensor(1, device='cuda:1')"
2023-04-05 13:00,0.007137,8.5,"tensor(2, device='cuda:1')"
2023-04-05 14:00,0.006958,4.5,"tensor(1, device='cuda:1')"
2023-04-05 15:00,0.001824,0.5,"tensor(0, device='cuda:1')"
