datetime,predicted precipitation,ground_truth
2021-07-03 13:00,6.429086,0.0
2021-07-03 14:00,8.013991,0.0
2021-07-03 15:00,152.728348,0.0
2021-07-03 16:00,14.115482,1.0
2021-07-03 17:00,11.430014,10.0
2021-07-03 18:00,51.785728,16.5
2021-07-03 19:00,71.616379,11.0
2021-07-03 20:00,79.528549,8.5
2021-07-03 21:00,51.250286,11.5
2021-07-03 22:00,66.341255,2.5
2021-07-03 23:00,68.224937,8.5
2022-06-23 17:00,234.513885,2.0
2022-06-23 18:00,1.628195,4.0
2022-06-23 19:00,16.194820,21.0
2022-06-23 20:00,112.455467,16.0
2022-06-23 21:00,208.738541,0.5
2022-06-23 22:00,138.004501,15.0
2022-06-23 23:00,73.603012,1.5
2022-06-24 00:00,152.849045,0.0
2022-06-24 01:00,162.747742,10.0
2022-06-24 02:00,158.290192,9.5
2022-06-24 03:00,0.807686,0.5
2022-06-30 01:00,54.264420,3.0
2022-06-30 02:00,43.865746,4.0
2022-06-30 03:00,120.991516,9.5
2022-06-30 04:00,13.743427,10.0
2022-06-30 05:00,42.233807,25.5
2022-06-30 06:00,104.724327,24.0
2022-06-30 07:00,20.774498,5.5
2022-06-30 08:00,70.813438,11.5
2022-06-30 09:00,112.045761,13.0
2022-06-30 10:00,23.229792,14.5
2022-06-30 11:00,70.923645,6.5
2022-06-30 13:00,55.056503,0.0
2022-06-30 14:00,64.735901,0.5
2022-06-30 15:00,73.738068,1.0
2022-06-30 16:00,58.470123,2.5
2022-06-30 17:00,88.415344,6.5
2022-06-30 18:00,41.550274,40.0
2022-06-30 19:00,69.786392,22.0
2022-06-30 20:00,27.737377,1.0
2022-06-30 21:00,18.872753,0.5
2022-06-30 22:00,10.714434,0.0
2022-06-30 23:00,162.112183,0.0
2022-07-13 07:00,257.207672,0.5
2022-07-13 08:00,104.216232,0.0
2022-07-13 09:00,0.005382,1.0
2022-07-13 10:00,80.643791,2.0
2022-07-13 11:00,72.221252,23.0
2022-07-13 12:00,40.812164,8.5
2022-07-13 13:00,93.565056,3.5
2022-07-13 14:00,78.295219,8.0
2022-07-13 15:00,64.152100,19.0
2022-07-13 16:00,39.497623,33.5
2022-07-13 17:00,79.683800,16.5
2022-08-08 19:00,225.525635,2.0
2022-08-08 20:00,194.434784,10.0
2022-08-08 21:00,4.403460,63.0
2022-08-08 22:00,2.706696,55.5
2022-08-08 23:00,16.237230,84.5
2022-08-09 00:00,19.245861,18.5
2022-08-09 01:00,55.736450,0.5
2022-08-09 02:00,48.867741,6.5
2022-08-09 03:00,10.271709,22.5
2022-08-09 04:00,23.342192,8.5
2022-08-09 05:00,228.061310,3.5
2022-09-05 08:00,149.809860,1.0
2022-09-05 09:00,100.871094,2.5
2022-09-05 10:00,17.272682,4.0
2022-09-05 11:00,95.488342,9.0
2022-09-05 12:00,31.896961,11.0
2022-09-05 13:00,85.038254,12.0
2022-09-05 14:00,104.680847,14.5
2022-09-05 15:00,1.532020,10.0
2022-09-05 16:00,57.258224,9.5
2022-09-05 17:00,55.547516,8.5
2022-09-05 18:00,32.132042,11.0
2022-09-05 19:00,49.806221,8.0
2022-09-05 20:00,80.829865,8.0
2022-09-05 21:00,96.380920,13.5
2022-09-05 22:00,32.535912,11.0
2022-09-05 23:00,66.380432,9.5
2022-09-06 00:00,37.360973,7.5
2022-09-06 01:00,30.397793,5.0
2022-09-06 02:00,146.671799,13.0
2023-04-05 08:00,72.487991,1.5
2023-04-05 09:00,84.590462,2.0
2023-04-05 10:00,91.639267,2.0
2023-04-05 11:00,116.686226,1.5
2023-04-05 12:00,56.342628,5.0
2023-04-05 13:00,38.972576,8.5
2023-04-05 14:00,177.069962,4.5
2023-04-05 15:00,9.246332,0.5
2023-04-05 16:00,3.142816,0.0
2023-04-05 17:00,0.159226,0.0
2023-04-05 18:00,5.892890,0.0
2023-07-11 04:00,0.000000,0.0
2023-07-11 05:00,0.079638,0.0
2023-07-11 06:00,0.468579,0.0
2023-07-11 07:00,4.720296,0.0
2023-07-11 08:00,4.639335,0.5
2023-07-11 09:00,59.338428,14.0
2023-07-11 10:00,54.347008,2.0
2023-07-11 11:00,164.771973,0.0
2023-07-11 12:00,115.426598,0.0
2023-07-11 13:00,109.099808,0.5
2023-07-11 14:00,98.907333,1.0
2023-07-11 15:00,60.440033,20.0
2023-07-11 16:00,49.805954,48.5
2023-07-11 17:00,55.243172,7.5
2023-07-11 18:00,16.954363,2.0
2023-07-11 19:00,100.186478,1.0
2023-07-11 20:00,100.869751,0.0
2023-08-10 13:00,139.488037,7.0
2023-08-10 14:00,19.827665,9.0
2023-08-10 15:00,62.390038,11.0
2023-08-10 16:00,26.790134,5.0
2023-08-10 17:00,0.467802,11.0
2023-08-10 18:00,0.891821,12.5
2023-08-10 19:00,99.167175,8.5
2023-08-10 20:00,26.663294,2.5
2023-08-10 21:00,16.406635,2.0
2023-08-10 22:00,0.511540,2.0
2023-08-10 23:00,8.433279,2.0
2023-08-23 07:00,47.962708,0.5
2023-08-23 08:00,9.817219,0.0
2023-08-23 09:00,5.021764,0.0
2023-08-23 10:00,0.623530,0.0
2023-08-23 11:00,242.020508,3.0
2023-08-23 12:00,101.807251,11.0
2023-08-23 13:00,76.812233,2.0
2023-08-23 14:00,1.953842,6.5
2023-08-23 15:00,3.634593,9.5
2023-08-23 16:00,108.109016,4.0
2023-08-23 17:00,66.620949,2.0
2023-08-29 07:00,0.138641,1.0
2023-08-29 08:00,45.139175,0.5
2023-08-29 09:00,7.334265,0.5
2023-08-29 10:00,94.989571,0.0
2023-08-29 11:00,150.258667,0.0
2023-08-29 12:00,55.704262,12.0
2023-08-29 13:00,51.772781,18.5
2023-08-29 14:00,101.136841,3.5
2023-08-29 15:00,56.606800,0.0
2023-08-29 16:00,38.885506,0.0
2023-08-29 17:00,58.297031,0.0
2023-09-16 19:00,60.911293,0.5
2023-09-16 20:00,156.565521,0.0
2023-09-16 21:00,35.991539,9.0
2023-09-16 22:00,142.942841,5.0
2023-09-16 23:00,131.235748,1.5
2023-09-17 00:00,113.331093,12.5
2023-09-17 01:00,78.583817,0.5
2023-09-17 02:00,157.018494,0.0
2023-09-17 03:00,2.574530,0.0
2023-09-17 04:00,5.589807,0.0
2023-09-17 05:00,4.548998,0.0
2023-11-05 23:00,54.511814,0.0
2023-11-06 00:00,44.842136,0.5
2023-11-06 01:00,38.346767,4.0
2023-11-06 02:00,18.959785,2.0
2023-11-06 03:00,108.352859,15.5
2023-11-06 04:00,99.674553,20.5
2023-11-06 05:00,88.240944,3.5
2023-11-06 06:00,3.769351,0.0
2023-11-06 07:00,153.448593,0.0
2023-11-06 08:00,60.960567,6.0
2023-11-06 09:00,9.774693,1.5
