datetime,predicted precipitation,ground_truth
2021-04-03 10:00,3.686729,2.0
2021-04-03 11:00,0.119225,7.0
2021-04-03 12:00,0.260014,11.0
2021-04-03 13:00,0.945224,6.5
2021-04-03 14:00,1.407806,8.0
2021-04-03 15:00,1.126521,4.5
2021-05-30 21:00,1.553807,0.5
2021-05-30 22:00,0.038635,2.0
2021-05-30 23:00,0.231822,13.5
2021-05-31 00:00,2.212105,0.0
2021-06-23 15:00,1.282787,0.0
2021-06-23 16:00,0.581662,0.0
2021-06-23 17:00,0.673698,15.0
2021-06-23 18:00,1.260522,0.0
2021-07-03 15:00,1.111017,0.0
2021-07-03 16:00,0.383061,1.0
2021-07-03 17:00,1.209195,10.0
2021-07-03 18:00,1.703759,16.5
2021-07-03 19:00,0.086991,11.0
2021-07-03 20:00,0.000744,8.5
2021-07-03 21:00,2.803342,11.5
2021-07-03 22:00,1.053460,2.5
2021-07-03 23:00,1.041484,8.5
2021-07-04 00:00,0.276183,0.0
2021-07-16 17:00,1.518041,0.0
2021-07-16 18:00,1.197706,0.0
2021-07-16 19:00,1.550102,11.5
2021-07-16 20:00,1.252397,0.0
2021-07-18 20:00,1.301486,0.0
2021-07-18 21:00,1.633085,0.0
2021-07-18 22:00,1.629068,14.0
2021-07-18 23:00,1.623262,0.5
2021-08-21 10:00,1.207093,6.0
2021-08-21 11:00,0.197384,7.5
2021-08-21 12:00,1.744197,13.5
2021-08-21 13:00,1.474934,10.0
2021-08-21 14:00,0.349632,12.5
2021-08-21 15:00,1.576053,0.0
2021-08-31 12:00,0.196827,1.0
2021-08-31 13:00,0.830623,4.0
2021-08-31 14:00,1.065535,8.0
2021-08-31 15:00,0.220174,11.5
2021-08-31 16:00,0.754798,14.5
2021-08-31 17:00,0.780681,8.5
2021-08-31 18:00,0.915825,9.0
2021-08-31 19:00,0.451743,3.5
2021-08-31 21:00,0.190684,2.0
2021-08-31 22:00,0.488518,4.0
2021-08-31 23:00,0.940743,13.0
2021-09-01 00:00,1.991099,0.0
2022-03-13 01:00,1.645631,2.5
2022-03-13 02:00,1.111293,6.0
2022-03-13 03:00,1.729064,8.5
2022-03-13 04:00,0.257097,2.0
2022-06-23 11:00,1.778642,0.0
2022-06-23 12:00,1.613517,0.0
2022-06-23 13:00,1.192711,8.5
2022-06-23 14:00,0.214552,7.0
2022-06-23 15:00,0.197285,3.5
2022-06-23 16:00,1.061746,11.5
2022-06-23 17:00,1.697208,2.0
2022-06-23 18:00,0.443294,4.0
2022-06-23 19:00,0.228387,21.0
2022-06-23 20:00,1.898094,16.0
2022-06-23 21:00,0.744277,0.5
2022-06-23 22:00,1.225976,15.0
2022-06-23 23:00,1.982871,1.5
2022-06-24 00:00,1.689119,0.0
