datetime,predicted precipitation,ground_truth
2021-04-03 10:00,-0.214683,2.0
2021-04-03 11:00,-0.003122,5.0
2021-04-03 12:00,-0.050913,4.0
2021-04-03 13:00,0.151554,4.5
2021-04-03 14:00,0.154414,1.5
2021-04-03 15:00,0.114438,3.5
2021-05-30 21:00,-0.117371,5.0
2021-05-30 22:00,0.375727,1.5
2021-05-30 23:00,-0.213856,11.5
2021-05-31 00:00,-0.003928,13.5
2021-06-23 15:00,-0.056100,0.0
2021-06-23 16:00,0.153446,0.0
2021-06-23 17:00,0.151160,15.0
2021-06-23 18:00,0.110756,15.0
2021-07-03 15:00,-0.117560,0.0
2021-07-03 16:00,0.376093,1.0
2021-07-03 17:00,-0.215582,9.0
2021-07-03 18:00,-0.006437,6.5
2021-07-03 19:00,-0.053180,5.5
2021-07-03 20:00,0.154356,2.5
2021-07-03 21:00,0.153592,3.0
2021-07-03 22:00,0.112368,9.0
2021-07-03 23:00,-0.115695,6.0
2021-07-04 00:00,0.375085,8.5
2021-07-16 17:00,-0.214991,0.0
2021-07-16 18:00,-0.006336,0.0
2021-07-16 19:00,-0.054683,11.5
2021-07-16 20:00,0.154174,11.5
2021-07-18 20:00,0.151755,0.0
2021-07-18 21:00,0.110552,0.0
2021-07-18 22:00,-0.117906,14.0
2021-07-18 23:00,0.375245,13.5
2021-08-21 10:00,-0.214823,6.0
2021-08-21 11:00,-0.003742,1.5
2021-08-21 12:00,-0.050729,6.0
2021-08-21 13:00,0.152943,3.5
2021-08-21 14:00,0.154233,2.5
2021-08-21 15:00,0.114622,12.5
2021-08-31 12:00,-0.114430,1.0
2021-08-31 13:00,0.374638,3.0
2021-08-31 14:00,-0.215352,4.0
2021-08-31 15:00,-0.005940,3.5
2021-08-31 16:00,-0.054366,3.0
2021-08-31 17:00,0.153866,6.0
2021-08-31 18:00,0.151867,0.5
2021-08-31 19:00,0.112467,5.5
2021-08-31 21:00,-0.117097,0.5
2021-08-31 22:00,0.375875,2.0
2021-08-31 23:00,-0.212797,9.0
2021-09-01 00:00,-0.005574,13.0
2022-03-13 01:00,-0.053662,2.0
2022-03-13 02:00,0.153817,3.5
2022-03-13 03:00,0.153798,2.5
2022-03-13 04:00,0.113302,6.5
2022-06-23 11:00,-0.115171,0.0
2022-06-23 12:00,0.374440,0.0
2022-06-23 13:00,-0.217566,8.5
2022-06-23 14:00,-0.005108,1.5
2022-06-23 15:00,-0.052188,3.5
2022-06-23 16:00,0.151930,8.0
2022-06-23 17:00,0.152850,9.5
2022-06-23 18:00,0.114705,2.0
