일시,풍속(m/s),강수량(mm),풍향(deg),기온(°C)
2014-01-01 00:00,2.0,0.0,289.1,5.1
2014-01-01 01:00,1.6,0.0,294.5,4.4
2014-01-01 02:00,1.2,0.0,272.8,4.0
2014-01-01 03:00,0.7,0.0,259.5,3.3
2014-01-01 04:00,0.8,0.0,296.4,3.1
2014-01-01 05:00,0.1,0.0,0.0,2.2
2014-01-01 06:00,0.8,0.0,137.7,1.7
2014-01-01 07:00,0.7,0.0,124.0,1.6
2014-01-01 08:00,1.3,0.0,122.5,1.6
2014-01-01 09:00,1.0,0.0,137.6,2.9
2014-01-01 10:00,1.5,0.0,240.2,4.7
2014-01-01 11:00,3.0,0.0,256.8,6.8
2014-01-01 12:00,3.1,0.0,265.7,7.4
2014-01-01 13:00,4.3,0.0,290.2,7.5
2014-01-01 14:00,4.8,0.0,278.7,8.4
2014-01-01 15:00,5.0,0.0,263.3,8.5
2014-01-01 16:00,4.4,0.0,268.6,8.0
2014-01-01 17:00,3.5,0.0,262.7,7.5
2014-01-01 18:00,3.5,0.0,255.1,7.0
2014-01-01 19:00,3.2,0.0,252.2,6.8
2014-01-01 20:00,2.6,0.0,265.7,6.7
2014-01-01 21:00,2.4,0.0,289.0,6.7
2014-01-01 22:00,1.8,0.0,300.4,6.0
2014-01-01 23:00,2.4,0.0,295.3,5.5
2014-01-02 00:00,3.7,0.0,301.7,4.8
2014-01-02 01:00,2.8,0.0,303.8,3.9
2014-01-02 02:00,1.9,0.0,298.3,3.3
2014-01-02 03:00,0.6,0.0,328.1,2.2
2014-01-02 04:00,0.2,0.0,0.0,1.7
2014-01-02 05:00,1.3,0.0,282.7,2.1
2014-01-02 06:00,1.1,0.0,265.1,1.7
2014-01-02 07:00,0.8,0.0,254.4,1.2
2014-01-02 08:00,1.2,0.0,11.4,1.0
2014-01-02 09:00,1.6,0.0,322.7,1.8
2014-01-02 10:00,0.5,0.0,154.2,2.9
2014-01-02 11:00,1.9,0.0,239.8,3.2
2014-01-02 12:00,1.9,0.0,251.2,4.2
2014-01-02 13:00,2.2,0.0,318.1,4.6
2014-01-02 14:00,2.3,0.0,263.8,5.6
2014-01-02 15:00,2.3,0.0,258.1,5.7
2014-01-02 16:00,1.9,0.0,263.4,6.1
2014-01-02 17:00,1.5,0.0,276.7,5.7
2014-01-02 18:00,0.8,0.0,293.0,5.0
2014-01-02 19:00,1.5,0.0,297.5,5.3
2014-01-02 20:00,0.3,0.0,0.0,3.4
2014-01-02 21:00,0.7,0.0,143.0,2.8
2014-01-02 22:00,1.0,0.0,119.2,2.2
2014-01-02 23:00,1.2,0.0,132.4,1.4
2014-01-03 00:00,0.8,0.0,137.2,0.7
2014-01-03 01:00,0.4,0.0,0.0,0.1
2014-01-03 02:00,0.4,0.0,0.0,-0.1
2014-01-03 03:00,1.2,0.0,154.5,-0.2
2014-01-03 04:00,0.5,0.0,156.8,0.2
2014-01-03 05:00,0.7,0.0,136.4,0.0
2014-01-03 06:00,0.7,0.0,127.5,-0.8
2014-01-03 07:00,0.5,0.0,145.5,-0.2
2014-01-03 08:00,0.8,0.0,133.3,-0.3
2014-01-03 09:00,0.4,0.0,0.0,0.9
2014-01-03 10:00,0.8,0.0,116.3,1.5
2014-01-03 11:00,1.0,0.0,151.6,3.3
2014-01-03 12:00,1.2,0.0,136.8,4.3
2014-01-03 13:00,0.5,0.0,73.6,6.2
2014-01-03 14:00,1.3,0.0,263.3,7.6
2014-01-03 15:00,1.6,0.0,276.4,7.8
2014-01-03 16:00,2.4,0.0,295.2,7.4
2014-01-03 17:00,2.0,0.0,285.4,7.1
2014-01-03 18:00,2.6,0.0,287.5,6.7
2014-01-03 19:00,1.7,0.0,278.7,6.3
2014-01-03 20:00,2.6,0.0,312.6,5.6
2014-01-03 21:00,3.0,0.0,289.4,4.9
2014-01-03 22:00,1.6,0.0,297.1,3.4
2014-01-03 23:00,0.5,0.0,287.8,2.9
2014-01-04 00:00,0.6,0.0,51.5,1.9
2014-01-04 01:00,2.1,0.0,350.6,2.3
2014-01-04 02:00,0.8,0.0,354.2,1.7
2014-01-04 03:00,0.8,0.0,2.9,1.1
2014-01-04 04:00,0.7,0.0,85.8,0.3
2014-01-04 05:00,0.7,0.0,319.4,0.0
2014-01-04 06:00,0.8,0.0,341.2,-0.2
2014-01-04 07:00,0.4,0.0,0.0,-0.5
2014-01-04 08:00,0.3,0.0,0.0,-0.8
2014-01-04 09:00,1.5,0.0,38.3,-0.3
2014-01-04 10:00,1.3,0.0,15.4,0.4
2014-01-04 11:00,1.7,0.0,303.3,1.3
2014-01-04 12:00,1.4,0.0,322.8,2.4
2014-01-04 13:00,1.2,0.0,201.1,3.6
2014-01-04 14:00,1.4,0.0,156.1,5.3
2014-01-04 15:00,2.0,0.0,244.8,4.9
2014-01-04 16:00,2.3,0.0,286.3,5.0
2014-01-04 17:00,2.6,0.0,271.2,4.4
2014-01-04 18:00,1.9,0.0,277.6,3.7
2014-01-04 19:00,2.2,0.0,280.1,2.8
2014-01-04 20:00,1.6,0.0,255.5,2.5
